Product,Customer,Count,Mean,Std,Min,Max,25,50,75,Action,ProductSKU,MinimumBeforeReorder,ReorderQuantity,Unit,RoundedMean,DiffMean,Diff75,MeanSavings,75Savings
Aberfeldy 12y 750ml,Customer Square 2,44,1.4423076923076923,1.0079198216445122,0,5,1.0,1.0,2.0,Create/Update,080480220006,3,6,35.99,1.0,2.0,1.0,71.98,35.99
Aberfeldy 12y 750ml,Customer Square 3,9,0.17307692307692307,0.3783137610174231,0,1,0.0,0.0,0.0,Create/Update,080480220006,2,6,35.99,0.0,2.0,2.0,71.98,71.98
Aberfeldy 16y 750ml,Customer Square 1,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0,Create/Update,080480006167,1,6,114.99,0.0,1.0,1.0,114.99,114.99
Aberfeldy 16y 750ml,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,080480006167,1,6,114.99,0.0,1.0,1.0,114.99,114.99
Aberfeldy 16y 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,080480006167,0,6,114.99,0.0,0.0,0.0,0.0,0.0
Aberfeldy 18y Exceptional Cask Series 750ml,Customer Square 1,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0,Create/Update,080480984984,1,6,214.99,0.0,1.0,1.0,214.99,214.99
Aberfeldy 18y Exceptional Cask Series 750ml,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,080480984984,1,6,214.99,0.0,1.0,1.0,214.99,214.99
Aberfeldy 18y Pauillac Bordeaux LE 750ml,Customer Square 1,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,080480986032,1,6,107.99,0.0,1.0,1.0,107.99,107.99
Aberfeldy 18y Pauillac Bordeaux LE 750ml,Customer Square 2,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0,Create/Update,080480986032,1,6,107.99,0.0,1.0,1.0,107.99,107.99
Aberfeldy 20y Exceptional Cask Series 750ml,Customer Square 1,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,080480985929,1,6,185.99,0.0,1.0,1.0,185.99,185.99
Aberfeldy 20y Exceptional Cask Series 750ml,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,080480985929,1,6,185.99,0.0,1.0,1.0,185.99,185.99
Aberfeldy 21y 750ml,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,080480220013,1,3,161.99,0.0,1.0,1.0,161.99,161.99
Aberfeldy 21y 750ml,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,080480220013,1,3,161.99,0.0,1.0,1.0,161.99,161.99
Aberfeldy 21y 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,080480220013,0,3,161.99,0.0,0.0,0.0,0.0,0.0
Aberlour 12y 750ml,Customer Square 1,6,0.1346153846153846,0.3936440286626677,0,2,0.0,0.0,0.0,Create/Update,080432102145,1,6,63.99,0.0,1.0,1.0,63.99,63.99
Aberlour 12y 750ml,Customer Square 2,6,0.11538461538461539,0.3194855331891567,0,1,0.0,0.0,0.0,Create/Update,080432102145,1,6,63.99,0.0,1.0,1.0,63.99,63.99
Aberlour 12y 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,080432102145,1,6,63.99,0.0,1.0,1.0,63.99,63.99
Aberlour 16y 750ml,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,080432102169,1,6,102.99,0.0,1.0,1.0,102.99,102.99
Aberlour 16y 750ml,Customer Square 2,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,080432102169,1,6,102.99,0.0,1.0,1.0,102.99,102.99
Aberlour 16y 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,080432102169,0,6,102.99,0.0,0.0,0.0,0.0,0.0
Aberlour A'bunadh Alba 750ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,080432114612,1,6,118.99,0.0,1.0,1.0,118.99,118.99
Aberlour A'bunadh Alba 750ml,Customer Square 2,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,080432114612,1,6,118.99,0.0,1.0,1.0,118.99,118.99
Aberlour A'bunadh Alba 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,080432114612,0,6,118.99,0.0,0.0,0.0,0.0,0.0
Aberlour Abunadh 750ml,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,080432516171,1,6,109.99,0.0,1.0,1.0,109.99,109.99
