Product,AP,PV,OH,Category,Total
Douro Twisted Tinto 2016 750ml,4.0,7.0,0.0,Red Old World,11.0
Esporao Alandra White BIB 3L,6.0,5.0,0.0,White,11.0
Masso Antico Fiano Appassito,1.0,6.0,3.0,White,10.0
Viamora Pinot Grigio 750ml,0.0,7.0,3.0,White,10.0
Walter Buchegger Riesling 750ml,6.0,2.0,2.0,White,10.0
The Whole Shebang NV Red 750ml,3.0,7.0,0.0,Red New World,10.0
Field Recordings Franc 750ml,10.0,0.0,0.0,Red New World,10.0
Perrier-Jouet Belle Epoque 2012 Brut 750ml,3.0,4.0,2.0,Bubbles,9.0
Matthiasson Cabernet Sauvignon 750ml,2.0,5.0,2.0,Red New World,9.0
Jean Royer Chateauneuf Du Pape Tradition 2017 750ml,4.0,5.0,0.0,Red Old World,9.0
Le Quai A Raisins Syrah Cinsault 750ml,1.0,4.0,4.0,Red Old World,9.0
Siete Perros Cabernet Sauvignon 750ml,0.0,5.0,4.0,Red New World,9.0
Love And Grapes Nobis Syrah 750ml,9.0,0.0,0.0,Red Old World,9.0
Swick Palhete 750ml,0.0,7.0,2.0,Red New World,9.0
Open Face Gewurztraminer 750ml,4.0,4.0,0.0,White,8.0
Perrier-Jouet Grand Brut 375ml,8.0,0.0,0.0,Bubbles,8.0
Ancient Peaks Merlot 750ml,5.0,2.0,1.0,Red New World,8.0
Azul y Garanza Natureleza Salvage Garnacha 750ml,6.0,2.0,0.0,Red Old World,8.0
Le Loup Dans La Bergerie Red 750ml,3.0,4.0,1.0,Red Old World,8.0
Swick Roussanne 750ml,0.0,7.0,1.0,Orange Wine,8.0
Teutonic Muscat 750ml,4.0,4.0,0.0,White,8.0
Lunaria Montepulciano BIB,7.0,1.0,0.0,Red Old World,8.0
Veuve Clicquot Brut 750ml,0.0,8.0,0.0,Bubbles,8.0
Vinca Minor Cabernet Sauvignon 750ml,2.0,5.0,1.0,Red New World,8.0
Lan Rioja Gran Reserva 2008 750ml,4.0,0.0,3.0,Red Old World,7.0
Rascallion Pandiculation 750ml,4.0,3.0,0.0,Red New World,7.0
Southold Weight Of The Moment 750ml,6.0,0.0,1.0,Red New World,7.0
Polvanera Primitivo 2016 750m,6.0,0.0,1.0,Red Old World,7.0
Lardy Cru Fleurie Vigneron 750ml,0.0,6.0,1.0,Red Old World,7.0
Arra ZA Cape Blend 2012 750ml,5.0,1.0,1.0,Red New World,7.0
Cambridge Road Syrah 750ml,1.0,3.0,3.0,Red New World,7.0
Regnaudot Maranges 1er Cru 750ml,3.0,2.0,1.0,Red Old World,6.0
William Chris Pet Nat Rose 750ml,0.0,6.0,0.0,Bubbles,6.0
Swick Grenache Noir 750ml,6.0,0.0,0.0,Red New World,6.0
Vezer Zinfandel Estate 750ml,0.0,1.0,5.0,Red New World,6.0
17/24 Metodo Classico 750ml,3.0,3.0,0.0,Bubbles,6.0
Esporao Monte Velho Red Blend 750ml,2.0,3.0,1.0,Red Old World,6.0
Bauer Barig Orange 750ml,6.0,0.0,0.0,Orange Wine,6.0
Esporao Alandra Red BIB 3L,4.0,2.0,0.0,Red Old World,6.0
Lopez De Heredia Vina Bosconia 750ml,2.0,3.0,1.0,Red Old World,6.0
Bota Box Pinot Grigio 3L,2.0,4.0,0.0,White,6.0
Occhipinti SP68 White Blend 750ml,0.0,5.0,1.0,White,6.0
Leduc Frouin Anjou Cab Franc 750ml,1.0,5.0,0.0,Red Old World,6.0
Peter Franus Zinfandel 750ml,1.0,2.0,3.0,Red New World,6.0
Folk Machine Pinot Noir 750ml,1.0,3.0,2.0,Red New World,6.0
Bos Deo Napa Cabernet 750ml,0.0,3.0,2.0,Red New World,5.0
Swick Sauvignon Blanc 750ml,0.0,5.0,0.0,White,5.0
Guido Porro Barolo Lazzairasco 2014 750ml,0.0,5.0,0.0,Red Old World,5.0
De Iuliis Shiraz 750ml,4.0,0.0,1.0,Red New World,5.0
Epoch Estate Blend 750ml,2.0,3.0,0.0,Red New World,5.0
Les Lunes Astral 750ml,0.0,4.0,1.0,Red New World,5.0
Fausse Piste Fish Sauce 750ml,4.0,0.0,1.0,Bubbles,5.0
Wrath Falanghina 750ml,2.0,0.0,3.0,Orange Wine,5.0
Swick Wyd Chardonnay 750ml,0.0,2.0,2.0,White,4.0
Grignolino d'Asti 750ml,3.0,1.0,0.0,Red Old World,4.0
