Category,SKU,ProductName,Location,Bin,BatchSerialNumber,ExpiryDate,Discount,StockValue,OnHand,VolumeOnHand,Available,OnOrder,InTransit,Allocated,Status,Unit,Family,StockLocator,Brand,PriceTier1,PriceTier2,PriceTier3,NextDeliveryDate
"Whiskey Bourbon/American","8800588005","1792 Bottled In Bond Nickel City Barrel 750ml","Pleasant Valley","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",34.9900,26.7900,26.7900,
"Whiskey Bourbon/American","8800588005","1792 Bottled In Bond Nickel City Barrel 750ml","Warehouse","","",,"",72.3300,3.0000,0.0000,3.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",34.9900,26.7900,26.7900,
"Whiskey Bourbon/American","8800488004","1792 Bottled In Bond Shaker Barrel F198083 750ml","Airport","","",,"",578.6400,24.0000,0.0000,24.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",39.9900,30.9400,30.9400,
"Whiskey Bourbon/American","8800488004","1792 Bottled In Bond Shaker Barrel F198083 750ml","Oak Hill","","",,"",241.1000,10.0000,0.0000,10.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",39.9900,30.9400,30.9400,
"Whiskey Bourbon/American","8800488004","1792 Bottled In Bond Shaker Barrel F198083 750ml","Pleasant Valley","","",,"",265.2100,11.0000,0.0000,11.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",39.9900,30.9400,30.9400,
"Whiskey Bourbon/American","8800488004","1792 Bottled In Bond Shaker Barrel F198083 750ml","Warehouse","","",,"",385.7600,16.0000,0.0000,16.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",39.9900,30.9400,30.9400,
"Whiskey Bourbon/American","080660001159","1792 Full Proof 750ml","Airport","","",,"",185.7000,6.0000,0.0000,6.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",45.9900,34.9500,34.9500,
"Whiskey Bourbon/American","080660001159","1792 Full Proof 750ml","Oak Hill","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",45.9900,34.9500,34.9500,
"Whiskey Bourbon/American","080660001159","1792 Full Proof 750ml","Pleasant Valley","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",45.9900,34.9500,34.9500,
"Whiskey Bourbon/American","080660001159","1792 Full Proof 750ml","Warehouse","","",,"",185.7000,6.0000,0.0000,6.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",45.9900,34.9500,34.9500,
"Whiskey Bourbon/American","080660001142","1792 Single Barrel 750ml","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",41.9900,34.9500,34.9500,
"Whiskey Bourbon/American","080660001142","1792 Single Barrel 750ml","Oak Hill","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",41.9900,34.9500,34.9500,
