,SKU,Product,Customer,Location,Status,CategoryDear,CategorySale,OnHand,Quantity,Sale,Unit,StockValue
11275,695521121602,Pierre Ferrand Pineau Des Charentes 750ml,Customer Square 3,Oak Hill,ACTIVE,Fortified,,6.0,,,36.99,221.94
11290,87647074427,Pigs Nose Blended Scotch 1L,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,,3.0,,,31.99,95.97
11304,25005555000,Pinche Vote Pin,Customer Square 3,Oak Hill,ACTIVE,Retail,,6.0,,,,
11346,8437000509042,Pinol Portal 750ml,Customer Square 3,Oak Hill,ACTIVE,White,,6.0,,,16.99,101.94
11368,695521152606,Plantation Barbados XO 750ml,Customer Square 3,Oak Hill,ACTIVE,Rum,,3.0,,,53.156666666666666,159.47
11406,695521152583,Plantation Peru 2010 750ml,Customer Square 3,Oak Hill,ACTIVE,Rum,,6.0,,,54.99,329.94
11448,4567890,Poderi Cellario 750ml,Customer Square 3,Oak Hill,ACTIVE,White,,6.0,,,,
11466,8033267731365,Polvanera Verdeca Puglia 750ml,Customer Square 3,Oak Hill,ACTIVE,Orange Wine,,5.0,,,29.99,149.95
11539,609788231332,Proof & Wood Deadwood Rye 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Rye,,6.0,,,21.99,131.94
11577,601673815863,Proof White Peach Syrup 4oz,Customer Square 3,Oak Hill,ACTIVE,Mixer,,4.0,,,12.99,51.96
11623,860004266419,Quadrum Rose Box 3L,Customer Square 3,Oak Hill,ACTIVE,Rose,,4.0,,,16.99,67.96
11626,860004266426,Quadrum White Blend Box 3L,Customer Square 3,Oak Hill,ACTIVE,White,,4.0,,,19.875714285714285,79.50285714285714
11664,613739981535,Raicilla Bonete Costa 750ml,Customer Square 3,Oak Hill,ACTIVE,Raicilla,,4.0,,,,
11666,613739981528,Raicilla Bonete Sierra 750ml,Customer Square 3,Oak Hill,ACTIVE,Raicilla,,4.0,,,79.99,319.96
11741,665991040406,Ransom Whippersnapper 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Bourbon/American,,4.0,,,27.99,111.96
11817,7503008376496,Real Minero Espadin Largo 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,,3.0,,,129.99,389.97
11876,6906785990724,Red Star Baiju 750ml,Customer Square 3,Oak Hill,ACTIVE,Baijiu,,3.0,,,14.99,44.97
11888,080432106419,Redbreast 15y 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Irish,,5.0,,,119.99000000000001,599.95
11922,031259002774,Redemption Wheated Bourbon 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Bourbon/American,,6.0,,,44.99,269.94
