Product,Customer,Count,Mean,Std,Min,Max,25,50,75,Action,ProductSKU,MinimumBeforeReorder,ReorderQuantity
512 Wit 6 Pack Bottles,Customer Square 3,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0,Create/Update,852674006143,1,4
6 Pack Bike Carrier,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,876718036903,2,6
6 Pack Bike Carrier,Customer Square 2,1,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,876718036903,2,6
6 Pack Bike Carrier,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,876718036903,2,6
99 Apple Schnapps 50ml,Customer Square 1,48,12.826923076923077,8.243228348739798,0,47,7.75,13.0,17.25,Create/Update,89000118397,60,120
99 Apple Schnapps 50ml,Customer Square 2,27,2.480769230769231,4.6471264264778345,0,27,0.0,1.0,2.0,Create/Update,89000118397,60,120
99 Apple Schnapps 50ml,Customer Square 3,33,3.6923076923076925,4.10224357722258,0,16,0.0,2.5,7.0,Create/Update,89000118397,12,120
99 Bananas 50ml,Customer Square 1,51,20.23076923076923,10.723115550090455,0,49,14.0,17.5,24.25,Create/Update,80660620992,60,120
99 Bananas 50ml,Customer Square 2,46,8.403846153846153,7.372661598992216,0,30,2.75,6.0,13.25,Create/Update,80660620992,60,120
99 Bananas 50ml,Customer Square 3,48,7.0,5.896543968226707,0,23,2.0,5.0,10.25,Create/Update,80660620992,24,120
99 Bananas 750ml,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,80660620053,2,12
99 Cherry Limeade 50ml,Customer Square 1,4,0.7884615384615384,2.754971300014816,0,12,0.0,0.0,0.0,Create/Update,88004045418,60,120
99 Cherry Limeade 50ml,Customer Square 2,3,0.21153846153846154,0.9058896702549135,0,5,0.0,0.0,0.0,Create/Update,88004045418,60,120
99 Cherry Limeade 50ml,Customer Square 3,6,0.6538461538461539,2.1383370190642523,0,9,0.0,0.0,0.0,Create/Update,88004045418,24,120
99 Chocolate 50ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,88004045425,60,120
99 Chocolate 50ml,Customer Square 2,6,0.23076923076923078,0.723649527777953,0,4,0.0,0.0,0.0,Create/Update,88004045425,60,120
99 Chocolate 50ml,Customer Square 3,3,0.17307692307692307,0.8019484408458861,0,5,0.0,0.0,0.0,Create/Update,88004045425,24,120
99 Fruit Punch 50ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,88004045456,60,120
99 Fruit Punch 50ml,Customer Square 2,5,0.23076923076923078,0.749753411139151,0,4,0.0,0.0,0.0,Create/Update,88004045456,60,120
99 Fruit Punch 50ml,Customer Square 3,7,0.6923076923076923,2.0897042626470963,0,9,0.0,0.0,0.0,Create/Update,88004045456,24,120
99 Guava 50ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,88004045449,60,120
99 Guava 50ml,Customer Square 2,5,0.23076923076923078,0.749753411139151,0,3,0.0,0.0,0.0,Create/Update,88004045449,60,120
99 Guava 50ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,88004045449,24,120
99 Mystery Flavor 50ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,88004045432,60,120
99 Mystery Flavor 50ml,Customer Square 2,6,0.34615384615384615,1.1583246420288922,0,6,0.0,0.0,0.0,Create/Update,88004045432,60,120
99 Mystery Flavor 50ml,Customer Square 3,3,0.07692307692307693,0.33085866411702414,0,2,0.0,0.0,0.0,Create/Update,88004045432,24,120
99 Party Bucket 50ml,Customer Square 1,23,0.8076923076923077,1.1935477422448386,0,5,0.0,0.0,1.0,Create/Update,88004034221,2,6
99 Party Bucket 50ml,Customer Square 2,15,0.40384615384615385,0.714132485677967,0,3,0.0,0.0,1.0,Create/Update,88004034221,2,6
99 Party Bucket 50ml,Customer Square 3,7,0.15384615384615385,0.41065685584735806,0,2,0.0,0.0,0.0,Create/Update,88004034221,2,6
AUS Pet Nat 750ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,8437015853109,2,12
AUS Pet Nat 750ml,Customer Square 2,6,0.17307692307692307,0.5084347717847033,0,2,0.0,0.0,0.0,Create/Update,8437015853109,2,12
AUS Pet Nat 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,8437015853109,2,12
Abasolo Corn Whisky 50ml,Customer Square 1,8,0.38461538461538464,1.0219484811989554,0,4,0.0,0.0,0.0,Create/Update,7503027709251,12,60
Abasolo Corn Whisky 50ml,Customer Square 2,5,0.1346153846153846,0.4397921779242027,0,2,0.0,0.0,0.0,Create/Update,7503027709251,12,60
Abasolo Corn Whisky 50ml,Customer Square 3,4,0.1346153846153846,0.5199425320998375,0,3,0.0,0.0,0.0,Create/Update,7503027709251,12,60
Abasolo Corn Whisky 750ml,Customer Square 1,13,0.3076923076923077,0.5730640163750516,0,2,0.0,0.0,0.25,Create/Update,7503027709077,1,6
Abasolo Corn Whisky 750ml,Customer Square 2,18,0.40384615384615385,0.5967738711224193,0,2,0.0,0.0,1.0,Create/Update,7503027709077,2,6
Abasolo Corn Whisky 750ml,Customer Square 3,6,0.1346153846153846,0.3936440286626677,0,2,0.0,0.0,0.0,Create/Update,7503027709077,1,6
Aberfeldy 12y 750ml,Customer Square 1,29,0.9038461538461539,1.0608344934461769,0,4,0.0,1.0,1.0,Create/Update,80480220006,3,6
Aberfeldy 12y 750ml,Customer Square 2,44,1.4423076923076923,1.0079198216445122,0,5,1.0,1.0,2.0,Create/Update,80480220006,3,6
Aberfeldy 12y 750ml,Customer Square 3,9,0.17307692307692307,0.3783137610174231,0,1,0.0,0.0,0.0,Create/Update,80480220006,2,6
Aberfeldy 16y 750ml,Customer Square 1,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0,Create/Update,80480006167,1,6
Aberfeldy 16y 750ml,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,80480006167,1,6
Aberfeldy 16y 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,80480006167,0,6
Aberfeldy 18y Exceptional Cask Series 750ml,Customer Square 1,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0,Create/Update,80480984984,1,6
Aberfeldy 18y Exceptional Cask Series 750ml,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,80480984984,1,6
Aberfeldy 18y Pauillac Bordeaux LE 750ml,Customer Square 1,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,80480986032,1,6
Aberfeldy 18y Pauillac Bordeaux LE 750ml,Customer Square 2,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0,Create/Update,80480986032,1,6
Aberfeldy 20y Exceptional Cask Series 750ml,Customer Square 1,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,80480985929,1,6
Aberfeldy 20y Exceptional Cask Series 750ml,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,80480985929,1,6
Aberfeldy 21y 750ml,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,80480220013,1,3
Aberfeldy 21y 750ml,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,80480220013,1,3
Aberfeldy 21y 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,80480220013,0,3
Aberlour 12y 750ml,Customer Square 1,6,0.1346153846153846,0.3936440286626677,0,2,0.0,0.0,0.0,Create/Update,80432102145,1,6
Aberlour 12y 750ml,Customer Square 2,6,0.11538461538461539,0.3194855331891567,0,1,0.0,0.0,0.0,Create/Update,80432102145,1,6
Aberlour 12y 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,80432102145,1,6
Aberlour 16y 750ml,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,80432102169,1,6
Aberlour 16y 750ml,Customer Square 2,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,80432102169,1,6
Aberlour 16y 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,80432102169,0,6
Aberlour A'bunadh Alba 750ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,80432114612,1,6
Aberlour A'bunadh Alba 750ml,Customer Square 2,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,80432114612,1,6
Aberlour A'bunadh Alba 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,80432114612,0,6
Aberlour Abunadh 750ml,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,80432516171,1,6
Aberlour Abunadh 750ml,Customer Square 2,7,0.1346153846153846,0.341312295178824,0,1,0.0,0.0,0.0,Create/Update,80432516171,1,6
Aberlour Abunadh 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,80432516171,1,6
Absinthe Brouilleur 3 Hole,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,12161216,2,2
Absinthe Brouilleur 3 Hole,Customer Square 2,1,0.038461538461538464,0.27467032417472503,0,2,0.0,0.0,0.0,Create/Update,12161216,2,2
Absinthe Brouilleur 3 Hole,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,12161216,2,2
Absinthe Fountain 2 Spout,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,13021302,1,2
Absinthe Fountain 2 Spout,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,13021302,1,2
Absinthe Fountain 2 Spout,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,13021302,1,2
