Product,Customer,Count,Mean,Std,Min,Max,25,50,75,Action,ProductSKU,MinimumBeforeReorder,ReorderQuantity,Unit,RoundedMean,DiffMean,Diff75,MeanSavings,75Savings
El Tesoro Blanco 750ml,Customer Square 3,30,10.73076923076923,13.906439273028804,0,53,0.0,1.5,26.0,Create/Update,080686760405,1,6,38.0,11.0,-10.0,-25.0,-380.0,-950.0
El Tesoro Extra Anejo 750ml,Customer Square 3,3,0.07692307692307693,0.33085866411702414,0,2,0.0,0.0,0.0,Create/Update,080686761044,1,6,11.747142857142858,0.0,1.0,1.0,11.747142857142858,11.747142857142858
El Tesoro Paradiso Extra Anejo 750ml,Customer Square 3,3,0.07692307692307693,0.33085866411702414,0,2,0.0,0.0,0.0,Create/Update,080686759461,1,6,101.83,0.0,1.0,1.0,101.83,101.83
El Tesoro Reposado 750ml,Customer Square 3,39,10.5,8.170067319184096,0,33,0.75,12.0,15.25,Create/Update,080686762409,3,6,238.5,10.0,-7.0,-12.0,-1669.5,-2862.0
Elijah Craig 375ml,Customer Square 3,4,1.8076923076923077,7.351186355167604,0,46,0.0,0.0,0.0,Create/Update,096749001873,3,12,632.96,2.0,1.0,3.0,632.96,1898.88
Elijah Craig Small Batch 750ml,Customer Square 3,52,63.53846153846154,51.29532200085694,8,195,25.75,38.5,98.0,Create/Update,096749000067,2,12,25.5,64.0,-62.0,-96.0,-1581.0,-2448.0
Elijah Craig Straight Rye 750ml,Customer Square 3,18,1.0384615384615385,2.1118852174295917,0,12,0.0,0.0,1.25,Create/Update,096749002733,3,6,25.5,1.0,2.0,2.0,51.0,51.0
Elisir Novasalus 750ml,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,8018571000017,1,2,,0.0,1.0,1.0,,
Emilio Hidalgo PX Sherry 500ml,Customer Square 3,16,0.75,1.2841489249843498,0,4,0.0,0.0,1.0,Create/Update,098709086425,1,6,49.77,1.0,0.0,0.0,0.0,0.0
Empress 1908 Gin 750ml,Customer Square 3,39,3.7884615384615383,3.7536471416350956,0,17,0.75,3.0,6.0,Create/Update,628451773108,2,6,11.614545454545455,4.0,-2.0,-4.0,-23.22909090909091,-46.45818181818182
Espina Negra Espadin 750ml,Customer Square 3,4,0.3076923076923077,1.3663322821793549,0,9,0.0,0.0,0.0,Create/Update,7500462612702,3,6,,0.0,3.0,3.0,,
Espina Negra Tepeztate 750ml,Customer Square 3,7,0.15384615384615385,0.41065685584735806,0,2,0.0,0.0,0.0,Create/Update,7500462612726,1,4,,0.0,1.0,1.0,,
