,Category,SKU,ProductName,Location,OnHand,Par,Shy,Send
7632,Bar Tools,876718020520,Stainless Steel Flask,Oak Hill,11,0,-11,
8362,Bar Tools,876718043710,Viski Lewis Bag and Mallet,Oak Hill,11,0,-11,
706,Vodka,849806002357,Basic Vodka 1L,Oak Hill,11,0,-11,
8058,Red Old World,879039004699,Torero Cabernet Sauvignon 750ml,Oak Hill,11,0,-11,
3892,Vodka,080480280031,Grey Goose 375ml,Oak Hill,11,0,-11,
5200,Mixer,700697229745,Liber & Co Fiery Ginger 17oz,Oak Hill,12,1,-11,
6450,Brandy,021296006019,Paul Masson Brandy 750ml,Oak Hill,12,1,-11,
1293,Whiskey Scotch,088110955328,Buchanans 12y 750ml,Oak Hill,12,1,-11,
8326,Bar Tools,123888,Viski Hawthorne Strainer Copper,Oak Hill,11,0,-11,
5046,Whiskey Scotch,080686813019,Laphroaig 10y 750ml,Oak Hill,11,0,-11,
2256,Whiskey Canadian,082000782919,Crown Peach 750ml,Oak Hill,12,1,-11,
1312,Bar Tools,123469,Budget Muddler,Oak Hill,11,0,-11,
7025,Red New World,115701157011,Roman Ceremony Cabernet Sauvignon 750mL,Oak Hill,11,0,-11,
1357,Whiskey Bourbon/American,087000005525,Bulleit Bourbon 750ml,Oak Hill,12,1,-11,
6798,White,715322151599,Raywood Moscato 750mL,Oak Hill,11,0,-11,
541,Rum,080480400620,Bacardi Coconut 1L,Oak Hill,11,0,-11,
2478,Mezcal,618397202114,Del Maguey Vida de Muertos750ml,Oak Hill,11,0,-11,
3430,Tequila,7502221969034,Fortaleza Blanco Still Strength 750ml,Oak Hill,11,0,-11,
1460,Rum,08727707,Captain Morgan 375ml,Oak Hill,11,0,-11,
5897,White,051497037376,Monopole Rioja 750ml,Oak Hill,12,1,-11,
2090,Garnish,031439002709,Collins Blue Cheese Olives 8oz,Oak Hill,11,0,-11,
1505,Fortified,898563002568,Carpano Classico Rosso 375ml,Oak Hill,11,0,-11,
2051,Bar Tools,123511,Cocktail Kingdom Teardrop Barspoon 30cm Stainless,Oak Hill,11,0,-11,
5218,Mixer,700697229769,Liber & Co Passion Fruit Syrup 17oz,Oak Hill,12,1,-11,
2645,Liqueur,793573762719,Domaine De Canton 375ml,Oak Hill,11,0,-11,
4060,Red New World,853096008005,Hedges CMS Red Blend 750ml,Oak Hill,11,0,-11,
8100,Mixer,854125003039,Tres Agaves Margarita Mix 1L,Oak Hill,11,1,-10,
1290,Whiskey Scotch,088110955335,Buchanans 12y 375ml,Oak Hill,10,0,-10,
7617,Liqueur,080480004705,St Germain 200ml,Oak Hill,10,0,-10,
8155,Red New World,879039003012,Turley Zinfandel Paso Robles 750ml,Oak Hill,10,0,-10,
6244,Whiskey Bourbon/American,081128005139,Old Forester 86 375ml,Oak Hill,10,0,-10,
1794,Vodka,088076179073,Ciroc Pineapple 375ml,Oak Hill,10,0,-10,
1697,Red New World,7804606221196,Chono Red Blend 750ml,Oak Hill,10,0,-10,
6125,Fortified,080480002183,Noilly Prat Extra Dry 375ml,Oak Hill,10,0,-10,
1665,Red New World,851601000193,Chasing Lions Cabernet Sauvignon 750ml,Oak Hill,10,0,-10,
1118,Red New World,769434103281,Bonny Doon La Cigare Volant Cuvee Oumuamua 750ml,Oak Hill,10,0,-10,
4777,Whiskey Rye,080686016618,Knob Creek Rye 375ml,Oak Hill,10,0,-10,
6038,Vodka,085000020333,New Amsterdam Peach 750ml,Oak Hill,10,0,-10,
2387,Vodka,856065002493,Deep Eddy Lemon 375ml,Oak Hill,11,1,-10,
5971,Bubbles,852832000150,Mumm Napa Brut Prestige 750ml,Oak Hill,10,0,-10,
4572,White,3507110014363,Jolie Folle Sauvignon Blanc 1L,Oak Hill,10,0,-10,
5040,Red Old World,747154050948,Lan Rioja Crianza 750ml,Oak Hill,10,0,-10,
6885,Bitters,088004190163,Regans Orange Bitters 5oz,Oak Hill,10,0,-10,
5680,Amaro,810016210009,Meletti Fernet 750ml,Oak Hill,10,0,-10,
