Category,ofSpace,ofSales,RatioSpace,ofIncome,RatioSales
Grappa,0.0020031159581571333,9.22939665383097e-05,0.04607519907295839,0.00024126994348341738,0.12044731734122159
Imp Beer,0.006454484754061874,0.006460577657681678,1.00094397986082,0.0026524757639086725,0.4109508140428161
Itnl Whiskey,0.0031159581571333183,0.00049736193078978,0.1596176539313201,0.0012957617161800123,0.4158469564854854
Liqueur,0.05942577342532829,0.026754995410938887,0.45022544712115514,0.03732619351660386,0.6281145598131128
Mead,0.00022256843979523704,8.716652395284804e-05,0.39163919212014625,0.0001214496705102098,0.5456733696023726
Mezcal,0.06654796349877587,0.031969604520353384,0.4803994418392902,0.08399596472553482,1.2621868545546087
Mixer,0.018473180503004675,0.01775120623086823,0.9609177059673608,0.009601151139821107,0.5197346032676654
Non Alcoholic Beverage,0.019808591141776095,0.07067666859800337,3.567980584391339,0.011462571074636201,0.5786666498689939
Orange Wine,0.0037836634765190296,0.005030021176337878,1.3294050085462403,0.004840639930255687,1.2793526592140472
Other,0.0006677053193857111,0.002117633787795661,3.1715095361886347,0.00131469988930745,1.9689822008861244
Pisco,0.0013354106387714222,0.0003691758661532388,0.2764511944377503,0.0005250947957402375,0.39320848621014787
Pox,0.00022256843979523704,1.538232775638495e-05,0.06911279860943757,2.8578775221367653e-05,0.12840443706960486
RTD,0.013131537947918985,0.03734829179250265,2.844167373283295,0.021427737723568083,1.6317767049490066
Raicilla,0.004673937235699978,0.0014254290387583385,0.3049739367210102,0.0039950826592774985,0.8547574470539905
Red New World,0.019363454262185623,0.025729506893846555,1.3287663732649722,0.022848267459335853,1.1799685712045516
Red Old World,0.0180280436234142,0.0220069835768014,1.2207083606243048,0.01841522942230575,1.021476861659503
Retail,0.0042288003561095034,0.003522553056212153,0.832991099029537,0.0008331200128777671,0.19701095883472672
Rose,0.006231916314266637,0.008967897081972424,1.4390271996179322,0.007370105708761261,1.1826387481951552
Rum,0.06276430002225684,0.027134426162263046,0.43232261257818394,0.04384011990231457,0.6984881514932602
Sake,0.0026708212775428445,0.009772905567889904,3.659138726377445,0.0031988765999573132,1.1977127136340173
Shochu,0.005119074115290452,0.0006768224212809378,0.13221578864414144,0.000822293095033213,0.1606331685210533
Singani,0.0004451368795904741,5.1274425854616494e-05,0.11518799768239595,7.944504072956666e-05,0.1784732839989715
Snacks,0.005341642555085689,0.011547000702459634,2.1616947565062974,0.0004972020826397129,0.09308037322084291
Soju,0.001112842198976185,0.0008973024524557887,0.8063159837767717,0.0002125482386535408,0.19099584725407176
Sotol,0.006454484754061874,0.002461172441021592,0.38131199232793145,0.005179240172813427,0.8024250378086458
Tequila,0.05987091030491876,0.07353778156069098,1.2282723143203886,0.12460806944503737,2.0812790186488956
Tobacco,0.009570442911195192,0.027149808490019432,2.8368392917594725,0.005139820186786654,0.5370514441681962
Vodka,0.042955708880480746,0.08350552994682842,1.9439914303165808,0.07202688685074496,1.6767709980331458
Whiskey American Single Malt,0.005786779434676163,0.0014203015961728768,0.24543904121556676,0.004851967101730023,0.8384572380028075
Whiskey Bourbon/American,0.10460716670376141,0.1110501515159284,1.0615921931086516,0.15642105346558574,1.4953187089805888
Whiskey Canadian,0.004896505675495215,0.010234375400581452,2.0901385761278393,0.011147335058749394,2.276589837225501
Whiskey Irish,0.014466948586690407,0.009911346517697367,0.6851027677540658,0.015294378095633483,1.057194473595096
Whiskey Japanese,0.011573558869352326,0.002379133359654205,0.20556627278704506,0.007666556009769706,0.6624199259979863
Whiskey Rye,0.02937903405297129,0.018638253798153096,0.6344066235992565,0.04212110788293738,1.4337131645305883
Whiskey Scotch,0.04896505675495215,0.011434196965579478,0.23351748621067542,0.040128578618237015,0.8195350169624496
Whiskey South African,0.00022256843979523704,5.127442585461649e-06,0.02303759953647919,9.526258407122551e-06,0.042801479023201625
White,0.018695748942799913,0.025011664931881925,1.3378263159398271,0.019656954217828804,1.0514130392941048
