Product,Customer,Count,Mean,Std,Min,Max,25,50,75,Action,ProductSKU,MinimumBeforeReorder,ReorderQuantity,ROUNDMEAN,ROUND75,diffmean,diff75
Aberfeldy 16y 750ml,Customer Square 2,0,0,0,0,0,0,0,0,Create/Update,80480006167,1,6,0,0,,
Aberfeldy 16y 750ml,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,80480006167,0,6,0,0,0,0
Aberfeldy 18y Exceptional Cask Series 750ml,Customer Square 1,3,0.057692307692308,0.233160685634272,0,1,0,0,0,Create/Update,80480984984,1,6,0,0,,
Aberfeldy 18y Exceptional Cask Series 750ml,Customer Square 2,0,0,0,0,0,0,0,0,Create/Update,80480984984,1,6,0,0,,
Aberfeldy 18y Pauillac Bordeaux LE 750ml,Customer Square 1,2,0.038461538461539,0.192307692307692,0,1,0,0,0,Create/Update,80480986032,1,6,0,0,,
Aberfeldy 18y Pauillac Bordeaux LE 750ml,Customer Square 2,3,0.057692307692308,0.233160685634272,0,1,0,0,0,Create/Update,80480986032,1,6,0,0,,
Aberfeldy 20y Exceptional Cask Series 750ml,Customer Square 1,2,0.038461538461539,0.192307692307692,0,1,0,0,0,Create/Update,80480985929,1,6,0,0,,
Aberfeldy 20y Exceptional Cask Series 750ml,Customer Square 2,0,0,0,0,0,0,0,0,Create/Update,80480985929,1,6,0,0,,
Aberfeldy 21y 750ml,Customer Square 1,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,80480220013,1,3,0,0,,
Aberfeldy 21y 750ml,Customer Square 2,0,0,0,0,0,0,0,0,Create/Update,80480220013,1,3,0,0,,
Aberfeldy 21y 750ml,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,80480220013,0,3,0,0,0,0
Aberlour 12y 750ml,Customer Square 1,6,0.134615384615385,0.393644028662668,0,2,0,0,0,Create/Update,80432102145,1,6,0,0,,
Aberlour 12y 750ml,Customer Square 2,6,0.115384615384615,0.319485533189157,0,1,0,0,0,Create/Update,80432102145,1,6,0,0,,
Aberlour 12y 750ml,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,80432102145,1,6,0,0,1,1
Aberlour 16y 750ml,Customer Square 1,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,80432102169,1,6,0,0,,
Aberlour 16y 750ml,Customer Square 2,2,0.038461538461539,0.192307692307692,0,1,0,0,0,Create/Update,80432102169,1,6,0,0,,
Aberlour 16y 750ml,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,80432102169,0,6,0,0,0,0
Aberlour A'bunadh Alba 750ml,Customer Square 1,0,0,0,0,0,0,0,0,Create/Update,80432114612,1,6,0,0,,
Aberlour A'bunadh Alba 750ml,Customer Square 2,2,0.038461538461539,0.192307692307692,0,1,0,0,0,Create/Update,80432114612,1,6,0,0,,
Aberlour A'bunadh Alba 750ml,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,80432114612,0,6,0,0,0,0
Aberlour Abunadh 750ml,Customer Square 1,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,80432516171,1,6,0,0,,
Aberlour Abunadh 750ml,Customer Square 2,7,0.134615384615385,0.341312295178824,0,1,0,0,0,Create/Update,80432516171,1,6,0,0,,
Aberlour Abunadh 750ml,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,80432516171,1,6,0,0,1,1
Absinthe Brouilleur 3 Hole,Customer Square 1,0,0,0,0,0,0,0,0,Create/Update,12161216,2,2,0,0,,
Absinthe Brouilleur 3 Hole,Customer Square 2,1,0.038461538461539,0.274670324174725,0,2,0,0,0,Create/Update,12161216,2,2,0,0,,
Absinthe Brouilleur 3 Hole,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,12161216,2,2,0,0,2,2
Absinthe Fountain 2 Spout,Customer Square 1,0,0,0,0,0,0,0,0,Create/Update,13021302,1,2,0,0,,
Absinthe Fountain 2 Spout,Customer Square 2,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,13021302,1,2,0,0,,
Absinthe Fountain 2 Spout,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,13021302,1,2,0,0,1,1
Absinthe Fountain 4 Spout,Customer Square 1,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,13041304,1,2,0,0,,
Absinthe Fountain 4 Spout,Customer Square 2,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,13041304,1,2,0,0,,
Absinthe Fountain 4 Spout,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,13041304,1,2,0,0,1,1
Absinthe Fountain 6 Spout Lady,Customer Square 1,0,0,0,0,0,0,0,0,Create/Update,1234500000005,1,2,0,0,,
Absinthe Fountain 6 Spout Lady,Customer Square 2,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,1234500000005,1,2,0,0,,
Absinthe Fountain 6 Spout Lady,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,1234500000005,1,2,0,0,1,1
Absinthe Fountain 6 Spout Rooster,Customer Square 1,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,13061306,1,2,0,0,,
Absinthe Fountain 6 Spout Rooster,Customer Square 2,0,0,0,0,0,0,0,0,Create/Update,13061306,1,2,0,0,,
Absinthe Fountain 6 Spout Rooster,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,13061306,1,2,0,0,1,1
Absinthe Fountain Glass 4 Spout,Customer Square 1,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,13741374,0,1,0,0,,
Absinthe Fountain Glass 4 Spout,Customer Square 2,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,13741374,0,1,0,0,,
Absinthe Fountain Glass 4 Spout,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,13741374,0,1,0,0,0,0
Absinthe Glass Coupe,Customer Square 1,1,0.038461538461539,0.274670324174725,0,2,0,0,0,Create/Update,14651465,4,12,0,0,,
Absinthe Glass Coupe,Customer Square 2,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,14651465,4,12,0,0,,
Absinthe Glass Coupe,Customer Square 3,2,0.038461538461539,0.192307692307692,0,1,0,0,0,Create/Update,14651465,4,12,0,0,4,4
Absinthe Glass Lyon,Customer Square 1,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,14601460,4,12,0,0,,
Absinthe Glass Lyon,Customer Square 2,2,0.057692307692308,0.304672683033747,0,2,0,0,0,Create/Update,14601460,4,12,0,0,,
Absinthe Glass Lyon,Customer Square 3,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,14601460,4,12,0,0,4,4
Absinthe Glass Pontarlier,Customer Square 1,3,0.134615384615385,0.621067510075198,0,4,0,0,0,Create/Update,14301430,4,12,0,0,,
Absinthe Glass Pontarlier,Customer Square 2,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,14301430,4,12,0,0,,
Absinthe Glass Pontarlier,Customer Square 3,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,14301430,4,12,0,0,4,4
Absinthe Glass Torsade,Customer Square 1,1,0.038461538461539,0.274670324174725,0,2,0,0,0,Create/Update,14701470,0,1,0,0,,
Absinthe Glass Torsade,Customer Square 2,0,0,0,0,0,0,0,0,Create/Update,14701470,0,1,0,0,,
Absinthe Glass Torsade,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,14701470,0,1,0,0,0,0
Absinthe Saucer Lavender,Customer Square 1,0,0,0,0,0,0,0,0,Create/Update,1234500000008,4,6,0,0,,
Absinthe Saucer Lavender,Customer Square 2,0,0,0,0,0,0,0,0,Create/Update,1234500000008,4,6,0,0,,
Absinthe Saucer Lavender,Customer Square 3,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,1234500000008,4,6,0,0,4,4
Absinthe Saucer Yellow,Customer Square 1,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,1234500000009,4,6,0,0,,
Absinthe Saucer Yellow,Customer Square 2,0,0,0,0,0,0,0,0,Create/Update,1234500000009,4,6,0,0,,
Absinthe Saucer Yellow,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,1234500000009,4,6,0,0,4,4
Absinthe Spoon,Customer Square 1,6,0.230769230769231,0.79940806503179,0,5,0,0,0,Create/Update,10031003,5,10,0,0,,
