,Category,SKU,ProductName,Location,OnHand,Par,Shy,Send
161,Vodka,835229000209,Absolut Vodka 375ml,Pleasant Valley,0.0,1,1.0,
162,Vodka,835229000308,Absolut Vodka 750ml,Airport,6.0,1,-5.0,
163,Vodka,835229000308,Absolut Vodka 750ml,Oak Hill,3.0,0,-3.0,
164,Vodka,835229000308,Absolut Vodka 750ml,Pleasant Valley,0.0,0,0.0,
165,Bubbles,761503633026,Achard Vincent Clairette Brut 750ml,Airport,5.0,1,-4.0,
166,Bubbles,761503633026,Achard Vincent Clairette Brut 750ml,Oak Hill,4.0,1,-3.0,
167,Bubbles,761503633026,Achard Vincent Clairette Brut 750ml,Pleasant Valley,4.0,3,-1.0,
168,Rum,786992212248,Admiral Rodney Formidable 750ml,Airport,1.0,0,-1.0,
169,Rum,786992212248,Admiral Rodney Formidable 750ml,Oak Hill,1.0,0,-1.0,
170,Rum,786992212248,Admiral Rodney Formidable 750ml,Pleasant Valley,3.0,0,-3.0,
171,Rum,786992214914,Admiral Rodney Officers Release 1 750ml,Airport,0.0,0,0.0,
172,Rum,786992214914,Admiral Rodney Officers Release 1 750ml,Oak Hill,2.0,0,-2.0,
173,Rum,786992214914,Admiral Rodney Officers Release 1 750ml,Pleasant Valley,2.0,0,-2.0,
174,Rum,786992212101,Admiral Rodney Princessa 750ml,Airport,2.0,0,-2.0,
175,Rum,786992212101,Admiral Rodney Princessa 750ml,Oak Hill,1.0,0,-1.0,
176,Rum,786992212101,Admiral Rodney Princessa 750ml,Pleasant Valley,1.0,0,-1.0,
177,Rum,786992212170,Admiral Rodney Royal Oak 750ml,Airport,1.0,0,-1.0,
178,Rum,786992212170,Admiral Rodney Royal Oak 750ml,Oak Hill,1.0,0,-1.0,
179,Rum,786992212170,Admiral Rodney Royal Oak 750ml,Pleasant Valley,1.0,0,-1.0,
180,Retail,024291261360,Advil 2 Pack,Airport,240.0,4,-236.0,
181,Retail,024291261360,Advil 2 Pack,Pleasant Valley,0.0,0,0.0,
182,Mixer,854856006507,Agavales Sangrita 1L,Airport,5.0,0,-5.0,
183,Mixer,854856006507,Agavales Sangrita 1L,Oak Hill,1.0,0,-1.0,
184,Mixer,854856006507,Agavales Sangrita 1L,Pleasant Valley,12.0,0,-12.0,
185,Bubbles,0727785006736,Agricola Morandin Lentico Pet Nat 750ml,Airport,6.0,0,-6.0,
186,Bubbles,0727785006736,Agricola Morandin Lentico Pet Nat 750ml,Oak Hill,4.0,0,-4.0,
187,Bubbles,0727785006736,Agricola Morandin Lentico Pet Nat 750ml,Pleasant Valley,6.0,0,-6.0,
188,Whiskey Japanese,4969265778634,Akashi Eigashima Japanese Whisky 750ml,Airport,1.0,0,-1.0,
189,Whiskey Japanese,4969265778634,Akashi Eigashima Japanese Whisky 750ml,Oak Hill,2.0,0,-2.0,
190,Whiskey Japanese,4969265778634,Akashi Eigashima Japanese Whisky 750ml,Pleasant Valley,1.0,2,1.0,1.0
191,Whiskey Japanese,4969265778597,Akashi Single Malt 750ml,Airport,2.0,0,-2.0,
192,Whiskey Japanese,4969265778597,Akashi Single Malt 750ml,Oak Hill,4.0,0,-4.0,
193,Whiskey Japanese,4969265778597,Akashi Single Malt 750ml,Pleasant Valley,0.0,0,0.0,
194,Whiskey Japanese,4969265758834,Akashi Ume 750ml,Airport,2.0,0,-2.0,
195,Whiskey Japanese,4969265758834,Akashi Ume 750ml,Oak Hill,3.0,0,-3.0,
196,Whiskey Japanese,4969265758834,Akashi Ume 750ml,Pleasant Valley,6.0,0,-6.0,
