Action,ProductSKU,ProductName,Location,MinimumBeforeReorder,ReorderQuantity,Stock Locator,PickZones
Create/Update,760080899054,Arton Peche De Vigne 750ml,Customer Square 3,3,2,,
Create/Update,850483000611,Auchentoshan 12y 750ml,Customer Square 3,0,6,,
Create/Update,859141004091,Auchentoshan American Oak 750ml,Customer Square 3,0,6,,
Create/Update,850483000598,Auchentoshan Three Wood 750ml,Customer Square 3,0,6,,
Create/Update,852895003006,Austin Beerworks Fire Eagle Cans 6 Pack,Customer Square 3,16,4,,
Create/Update,852895003013,Austin Beerworks Peacemaker Cans 6 Pack,Customer Square 3,4,8,,
Create/Update,852895003020,Austin Beerworks Pearl-Snap Cans 6 Pack,Customer Square 3,5,4,,
Create/Update,864286000006,Austin Reserve Gin 750ml,Customer Square 3,6,4,,
Create/Update,094922525017,Averell Damson Gin Liqueur 750ml,Customer Square 3,0,2,,
Create/Update,8000400203942,Averna Amaro 750ml,Customer Square 3,7,6,,
Create/Update,736040523901,Aveze Gentiane Liqueur 1L,Customer Square 3,0,2,,
Create/Update,857050005055,Aviation Gin 50ml,Customer Square 3,0,60,,
Create/Update,853507000024,Aviation Gin 750ml,Customer Square 3,1,6,,
Create/Update,856146006013,Avua Amburana Cachaca 750ml,Customer Square 3,0,6,,
Create/Update,856146006006,Avua Prata Cachaca 750ml,Customer Square 3,0,6,,
Create/Update,854997002093,BG Reynolds Orgeat 750ml,Customer Square 3,4,6,,
Create/Update,854997002154,BG Reynolds Passion Fruit 750ml,Customer Square 3,0,2,,
Create/Update,080480505400,Bacardi 8 750ml,Customer Square 3,0,12,,
Create/Update,080480983390,Bacardi Anejo 4 Year 1L,Customer Square 3,0,6,,
Create/Update,080480400620,Bacardi Coconut 1L,Customer Square 3,1,12,,
Create/Update,080480016210,Bacardi Silver 50ml,Customer Square 3,0,120,,
Create/Update,080480015305,Bacardi Superior 1L,Customer Square 3,38,12,,
