,ProductCode,Name,Category,Type,Barcode,MinimumBeforeReorder,ReorderQuantity,DefaultLocation,LastSuppliedBy,SupplierProductCode,SupplierFixedPrice,PriceTier1,PriceTier2,PriceTier3,PriceTier4,PriceTier5,PriceTier6,PriceTier7,PriceTier8,PriceTier9,PriceTier10,AverageCost,DefaultUnitOfMeasure,InventoryAccount,RevenueAccount,ExpenseAccount,COGSAccount,ProductAttributeSet,AdditionalAttribute1,AdditionalAttribute2,AdditionalAttribute3,AdditionalAttribute4,PurchaseTaxRule,SaleTaxRule,Status,Description,ShortDescription,Sellable,AlwaysShowQuantity,InternalNote
1968,123553,Copper Cocktail Picks,Bar Tools,Stock,123553,0.0,0.0,Airport,True Fabrications,,1.49833,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.4983,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
1973,Corkscrew,Corkscrew,Service,Service,,0.0,0.0,Airport,,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Item,,,,,Item Details,,,,,,,ACTIVE,,,Yes,,
2000,080686962106,Courvoisier VSOP 200ml,Cognac,Stock,080686962106,0.0,0.0,Airport,Southern Glazers Wine & Spirits,,0.0,13.99,10.94,10.94,10.94,10.94,10.94,10.94,10.94,10.94,10.94,0.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,200ml,DS,Glazers Premier,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2001,0806869612083,Courvoisier VSOP 375ml,Cognac,Stock,0806869612083,0.0,0.0,Airport,Southern Glazers Wine & Spirits,,16.8,23.99,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,0.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,375ml,DS,Glazers Premier,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2002,080686962045,Courvoisier VSOP 750ml,Cognac,Stock,080686962045,0.0,0.0,Airport,Southern Glazers Wine & Spirits,,25.3,46.99,28.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,DS,Glazers Premier,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2003,123805,Covert Pocket Corkscrew,Garnish,Stock,123805,0.0,0.0,Airport,True Fabrications,,0.65,1.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.6592,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
2015,860000790963,Cream Of Kentucky Bonded Rye 750ml,Whiskey Bourbon/American,Stock,860000790963,0.0,0.0,Airport,Victory,,112.0,79.99,63.53,63.53,63.53,63.53,63.53,63.53,63.53,63.53,63.53,74.3333,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,DS,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2018,850032121033,Crisp Crude Gold Fashioned 4pk,Non Alcoholic Beverage,Stock,850032121033,0.0,0.0,Pleasant Valley,Sweet Crude Libations,,0.0,19.99,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,8.64,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,8.45oz 4pk,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2019,850032121095,Crisp Crude Mellow Mule 4pk,Non Alcoholic Beverage,Stock,850032121095,0.0,0.0,Pleasant Valley,Sweet Crude Libations,,0.0,19.99,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,8.64,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,8.45oz 4pk,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2020,850032121071,Crisp Crude Paloma Daydream 4pk,Non Alcoholic Beverage,Stock,850032121071,0.0,0.0,Pleasant Valley,Sweet Crude Libations,,0.0,19.99,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,8.64,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,8.45oz 4pk,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2023,39383007863,Crop Organic Vodka 750ml,Vodka,Stock,039383007863,0.0,0.0,Airport,Southern Glazers Wine & Spirits,,13.99,24.99,19.89,19.89,19.89,19.89,19.89,19.89,19.89,19.89,19.89,11.95,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,DS,Glazers Premier,,,,ACTIVE,,,Yes,0.0,
2036,08245805,Crown Royal Apple 50ml,Whiskey Canadian,Stock,08245805,0.0,0.0,Airport,Southern Glazers Wine & Spirits,Coastal,0.0,1.99,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,0.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,50ml,DS,Glazers Coastal,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2041,08252300,Crown Royal Vanilla 50ml,Whiskey Canadian,Stock,08252300,0.0,0.0,Airport,Southern Glazers Wine & Spirits,Coastal,0.0,1.99,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,0.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,50ml,DS,Glazers Coastal,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2055,1234500000078,Crumb Scraper,Bar Tools,Stock,1234500000078,0.0,0.0,Airport,True Fabrications,,0.51,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.51,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
2075,Custom Amount,Custom Amount,Service,Service,,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Item,,,,,,,,,,,,ACTIVE,,,Yes,,
2088,812593010348,Cuvelier Nature 750ml,Red Old World,Stock,812593010348,0.0,0.0,Pleasant Valley,Parker Wolf,,0.0,27.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,14.5,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,W,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2099,091037310309,Dale DeGroffs Pimento Bitters 150ml,Bitters,Stock,091037310309,0.0,0.0,Airport,A Priori,,0.0,19.99,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,8.7442,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,150ml,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2126,753677291584,Dashfire Old Fashioned Bitters 100ml,Bitters,Stock,753677291584,0.0,0.0,Pleasant Valley,Favorite Brands,,0.0,19.99,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,9.09,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,100ml,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2127,753677291560,Dashfire Spiced Apple Bitters 100ml,Bitters,Stock,753677291560,0.0,0.0,Pleasant Valley,Favorite Brands,,0.0,19.99,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,6.957,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,100ml,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2128,753677291515,Dashfire Star Anise Bitters 100ml,Bitters,Stock,753677291515,0.0,0.0,Airport,A Priori,,19.76,19.99,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,8.6006,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,100ml,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2145,7804670300032,De Otro Planeta Sauvignon Gris 750ml,Orange Wine,Stock,7804670300032,0.0,0.0,Pleasant Valley,Pangea Selections LLC,,0.0,18.99,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,16.9354,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,W,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2148,9781607745259,Death & Co Book,Books,Stock,9781607745259,0.0,0.0,Airport,Random House,,20.0,39.99,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,20.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
2167,856065002561,Deep Eddy Peach 50ml,Vodka,Stock,856065002561,0.0,0.0,Airport,Republic,,0.9,1.29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.664,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,50ml,DS,,,,,ACTIVE,,,Yes,0.0,
2188,00850030152428,DEHY Blood Orange Jar,Garnish,Stock,00850030152428,0.0,0.0,Pleasant Valley,DEHY,,0.0,18.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,9.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2194,102710271027,DEHY Garnishes,Garnish,Stock,102710271027,0.0,0.0,Pleasant Valley,DEHY,,0.0,5.0,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,2.4063,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2197,00850030152466,DEHY Grapefruit Jar,Garnish,Stock,00850030152466,0.0,0.0,Pleasant Valley,DEHY,,0.0,18.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,9.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2203,00850030152503,DEHY Lemon Jar,Garnish,Stock,00850030152503,0.0,0.0,Pleasant Valley,DEHY,,0.0,18.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,9.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2206,00850030152237,DEHY Lime 550g,Garnish,Stock,00850030152237,0.0,0.0,Pleasant Valley,DEHY,,0.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,63.5,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,550g,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2208,00850030152527,DEHY Lime Jar,Garnish,Stock,00850030152527,0.0,0.0,Pleasant Valley,DEHY,,0.0,18.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,9.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2216,00850030152572,DEHY Orange Jar,Garnish,Stock,00850030152572,0.0,0.0,Pleasant Valley,DEHY,,0.0,18.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,9.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2223,00850030152626,DEHY Pineapple Jar,Garnish,Stock,00850030152626,0.0,0.0,Pleasant Valley,DEHY,,0.0,18.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,9.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2232,080686316022,DEK Blue Curacao 750ml,Liqueur,Stock,080686316022,0.0,0.0,Pleasant Valley,Southern Glazers Wine & Spirits,Premier,0.0,10.99,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,0.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,DS,Glazers Premier,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2255,618397960021,Del Maguey Minero 750ml,Mezcal,Stock,618397960021,0.0,0.0,Airport,Republic,,77.0,109.99,86.56,86.56,86.56,86.56,86.56,86.56,86.56,86.56,86.56,56.8192,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,DS,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2257,618397201629,Del Maguey San Dionisio Ocotepec 750ml,Mezcal,Stock,618397201629,0.0,0.0,Airport,Republic,,26.0,64.99,29.94,29.94,29.94,29.94,29.94,29.94,29.94,29.94,29.94,27.5172,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,DS,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2275,722782328638,Demitri's Bloody Mary Seasoning 8oz,Garnish,Stock,722782328638,0.0,0.0,Airport,True Fabrications,,6.24,11.99,8.91,8.91,8.91,8.91,8.91,8.91,8.91,8.91,8.91,6.45,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2277,898498001056,Denizen Vatted Dark Rum 750ml,Rum,Stock,898498001056,0.0,0.0,Airport,Southern Glazers Wine & Spirits,Genesis,0.0,29.99,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,15.6883,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,DS,Glazers Genesis,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2278,898498001018,Denizen White Rum 750ml,Rum,Stock,898498001018,0.0,0.0,Airport,Southern Glazers Wine & Spirits,Genesis,0.0,16.99,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,14.99,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,DS,Glazers Genesis,,,,ACTIVE,,,Yes,0.0,
2299,866510000431,Desert Door Texas Barrel Aged Sotol 50ml,Sotol,Stock,866510000431,0.0,0.0,Airport,Republic,,0.0,3.49,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,1.5,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,50ml,DS,Glazers Premier,,,,ACTIVE,,,Yes,0.0,
2301,866510000424,Desert Door Texas Sotol 50ml,Sotol,Stock,866510000424,0.0,0.0,Airport,Republic,,40.73,2.99,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.2,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,50ml,DS,Glazers Premier,,,,ACTIVE,,,Yes,0.0,
2305,866510000448,Desert Door Texas Sotol Flask 200ml,Sotol,Stock,866510000448,0.0,0.0,Airport,Republic,,0.0,4.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,0.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,200ml,DS,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2312,89105140309,Devlin Irish Whiskey,Whiskey Irish,Stock,089105140309,0.0,0.0,Pleasant Valley,Republic,,0.0,23.99,18.72,18.72,18.72,18.72,18.72,18.72,18.72,18.72,18.72,5.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,DS,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2314,80480231026,Dewars 12y 750ml,Whiskey Scotch,Stock,080480231026,0.0,0.0,Airport,Southern Glazers Wine & Spirits,,20.0,27.99,23.65,23.65,23.65,23.65,23.65,23.65,23.65,23.65,23.65,25.14,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,DS,Glazers Transatlantic,,,,ACTIVE,,,Yes,0.0,
2340,082000786474,Dickel Tabasco 750ml,Whiskey Bourbon/American,Stock,082000786474,0.0,0.0,Pleasant Valley,Southern Glazers Wine & Spirits,Coastal,3.0,18.99,14.82,14.82,14.82,14.82,14.82,14.82,14.82,14.82,14.82,3.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,DS,Glazers Coastal,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2342,088004012236,Diesel Grain Alcohol 1L,Vodka,Stock,088004012236,0.0,0.0,Airport,Republic,,0.0,14.99,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,5.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,1L,DS,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2343,049000050110,Diet Coke 2L,Non Alcoholic Beverage,Stock,049000050110,0.0,0.0,Pleasant Valley,HEB,,0.0,2.99,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,6.244,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,2L,,,,,,ACTIVE,,,Yes,0.0,
2360,851302002519,Dirty Sue Blue Cheese Stuffed Olives 16oz,Garnish,Stock,851302002519,0.0,0.0,,American Mixers Inc.,Premier,0.0,12.99,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,6.0833,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,16oz,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2361,851302002649,Dirty Sue Blue Cheese Stuffed Olives 25oz,Garnish,Stock,851302002649,0.0,0.0,,American Mixers Inc.,Premier,0.0,16.99,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,7.6154,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,16oz,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2362,851302002533,Dirty Sue Double Stuffed Olives 16oz,Garnish,Stock,851302002533,0.0,0.0,,American Mixers Inc.,Premier,0.0,14.99,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,7.2083,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,16oz,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2363,851302002526,Dirty Sue Jalapeno Stuffed Olives 16oz,Garnish,Stock,851302002526,0.0,0.0,,American Mixers Inc.,Premier,0.0,12.99,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,6.0833,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,16oz,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2364,851302002656,Dirty Sue Jalapeno Stuffed Olives 25oz,Garnish,Stock,851302002656,0.0,0.0,,American Mixers Inc.,Premier,0.0,16.99,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,8.25,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,16oz,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2365,851302002601,Dirty Sue Jalapeno Stuffed Onions 16oz,Garnish,Stock,851302002601,0.0,0.0,,American Mixers Inc.,Premier,0.0,14.99,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,7.2083,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,16oz,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2366,851302002724,Dirty Sue Jumbo Cocktail Onions 25oz,Garnish,Stock,851302002724,0.0,0.0,,American Mixers Inc.,Premier,0.0,10.99,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,3.25,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,16oz,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2367,705105792163,Dirty Sue Olive Juice 750ml,Mixer,Stock,705105792163,0.0,0.0,,American Mixers Inc.,Premier,0.0,9.99,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,4.0833,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2368,851302002571,Dirty Sue Pimento Stuffed Olives 16oz,Garnish,Stock,851302002571,0.0,0.0,,American Mixers Inc.,Premier,0.0,12.99,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,4.5833,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,16oz,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2369,851302002212,Dirty Sue Pimento Stuffed Olives 80oz,Garnish,Stock,851302002212,0.0,0.0,,American Mixers Inc.,Premier,0.0,39.99,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,20.25,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,16oz,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2370,644216664566,Dirty Sue Whiskey Cherries 16oz,Garnish,Stock,644216664566,0.0,0.0,,American Mixers Inc.,Premier,0.0,14.99,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,7.2083,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,16oz,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2371,644216664467,Dirty Sue Whiskey Cherries 25oz,Garnish,Stock,644216664467,0.0,0.0,,American Mixers Inc.,Premier,0.0,19.99,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,10.1667,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,16oz,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2372,Discount,Discount,Service,Service,,0.0,0.0,Airport,,,0.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Item,,,,,Item Details,,,,,,,ACTIVE,,,Yes,,
2382,051497122720,Doers Vodka 1L,Vodka,Stock,051497122720,0.0,0.0,Warehouse,Green Light Distribution,,0.0,22.99,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,11.2542,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,1L,DS,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2397,038900009144,Dole Pineapple Juice 6oz,Mixer,Stock,038900009144,0.0,0.0,Airport,Ben E Keith Foods,,0.0,0.99,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.409,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2403,3274510003906,Dolin Rouge 375ml,Fortified,Stock,3274510003906,0.0,0.0,Airport,Victory,,7.25,10.99,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,9.56,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,375ml,W,,,,,ACTIVE,,,Yes,0.0,
2455,674545000629,Don Julio Blanco 175L,Tequila,Stock,674545000629,0.0,0.0,Airport,Southern Glazers Wine & Spirits,Coastal,0.0,89.99,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,175L,DS,Glazers Coastal,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2522,9780399580550,Drinking Distilled A Users Manual,Books,Stock,9780399580550,0.0,0.0,Airport,Random House,,8.49,16.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,8.4925,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
2523,9781631594182,Drinking Like Ladies,Books,Stock,9781631594182,0.0,0.0,Airport,Hachette,,12.49,24.99,22.59,22.59,22.59,22.59,22.59,22.59,22.59,22.59,22.59,12.4956,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
2524,94922475794,Dripping Springs Artisan Gin 50ml,Gin,Stock,094922475794,0.0,0.0,Airport,Republic,,0.8,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,50ml,DS,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2526,094922475794,Dripping Springs Gin 50ml,Gin,Stock,,0.0,0.0,Airport,,,0.0,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Item,,,,,Item Details,,,,,,,ACTIVE,,,Yes,,
2532,850010806068,Dripping Springs Vodka 50ml,Vodka,Stock,850010806068,0.0,0.0,Airport,Republic,,0.6,1.99,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,0.6,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,50ml,DS,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2534,850010806181,Dripping Springs Vodka Glass 375ml,Vodka,Stock,850010806181,0.0,0.0,Airport,Republic,,7.13,9.99,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,0.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,375ml,DS,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2535,862972000309,Drop Rose Single Can 250ml,Rose,Stock,862972000309,0.0,0.0,Airport,,,0.0,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Item,_28_: Inventory,_1_: Sales,_26_: Cost of Goods Sold,_26_: Cost of Goods Sold,Item Details,250ml,W,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2587,227722772277,Eagle Rare 10y Nickle City Barrel 750ml,Whiskey Bourbon/American,Stock,227722772277,0.0,0.0,Pleasant Valley,Republic,,22.8,39.99,23.39,23.39,23.39,23.39,23.39,23.39,23.39,23.39,23.39,21.05,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,DS,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2589,88004021,Eagle Rare 10y Seven Grand Barrel 750ml,Whiskey Bourbon/American,Stock,88004021,0.0,0.0,Airport,Republic,,22.8,39.99,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,21.05,Item,_28_: Inventory,_1_: Sales,_26_: Cost of Goods Sold,_26_: Cost of Goods Sold,Item Details,750ml,DS,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2592,508508609,Eagle Rare 10y Shaker Barrel 750ml,Whiskey Bourbon/American,Stock,508508609,0.0,0.0,Airport,,,0.0,39.99,23.39,23.39,23.39,23.39,23.39,23.39,23.39,23.39,23.39,0.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,DS,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
2624,eGift Card,eGift Card,Service,Service,,0.0,0.0,Airport,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Item,,,,,Item Details,,,,,,,ACTIVE,,,Yes,,
2635,862018000287,Eight And Sand 750ml,Whiskey Bourbon/American,Stock,862018000287,0.0,0.0,Airport,Republic,,20.99,34.99,23.99,23.99,23.99,23.99,23.99,23.99,23.99,23.99,23.99,14.99,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,DS,,,,,ACTIVE,,,Yes,0.0,
