,ProductCode,Name,Category,Type,Barcode,MinimumBeforeReorder,ReorderQuantity,DefaultLocation,LastSuppliedBy,SupplierProductCode,SupplierFixedPrice,PriceTier1,PriceTier2,PriceTier3,PriceTier4,PriceTier5,PriceTier6,PriceTier7,PriceTier8,PriceTier9,PriceTier10,AverageCost,DefaultUnitOfMeasure,InventoryAccount,RevenueAccount,ExpenseAccount,COGSAccount,ProductAttributeSet,AdditionalAttribute1,AdditionalAttribute2,AdditionalAttribute3,AdditionalAttribute4,PurchaseTaxRule,SaleTaxRule,Status,Description,ShortDescription,Sellable,AlwaysShowQuantity,InternalNote
103,14651465,Absinthe Glass Coupe,Glassware,Stock,14651465,0.0,0.0,Airport,Bonnecaze,,5.85,12.0,7.55,7.55,7.55,7.55,7.55,7.55,7.55,7.55,7.55,6.2056,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
104,14601460,Absinthe Glass Lyon,Glassware,Stock,14601460,0.0,0.0,Airport,Bonnecaze,,0.0,14.0,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,7.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
105,14301430,Absinthe Glass Pontarlier,Glassware,Stock,14301430,0.0,0.0,Airport,Bonnecaze,,5.85,12.0,7.55,7.55,7.55,7.55,7.55,7.55,7.55,7.55,7.55,5.9591,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
106,14701470,Absinthe Glass Torsade,Glassware,Stock,14701470,0.0,0.0,Airport,Bonnecaze,,5.85,12.0,7.55,7.55,7.55,7.55,7.55,7.55,7.55,7.55,7.55,5.85,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
109,123464,Absinthe Saucer Blue,Bar Tools,Stock,123464,0.0,0.0,Airport,Bonnecaze,,4.5,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.5,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
110,123465,Absinthe Saucer Green,Bar Tools,Stock,123465,0.0,0.0,Airport,Bonnecaze,,4.5,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.5,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
111,1234500000008,Absinthe Saucer Lavender,Bar Tools,Stock,123465,0.0,0.0,Airport,Bonnecaze,,4.5,9.0,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,4.5,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
112,123466,Absinthe Saucer Red,Bar Tools,Stock,123466,0.0,0.0,Airport,Bonnecaze,,4.5,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.5,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
113,1234500000009,Absinthe Saucer Yellow,Bar Tools,Stock,1234500000009,0.0,0.0,Airport,Bonnecaze,,4.5,9.0,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,4.5,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
114,10031003,Absinthe Spoon,Bar Tools,Stock,10031003,0.0,0.0,Airport,Bonnecaze,,4.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.5192,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
115,15201520,Absinthe Spoon Holder,Bar Tools,Stock,15201520,0.0,0.0,Airport,Bonnecaze,,28.0,59.99,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,28.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
116,859868004619,Absinthe Sugar Cubes (20pack),Garnish,Stock,859868004619,0.0,0.0,Airport,Bonnecaze,,1.6,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.6916,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
117,1234500000011,Absinthe Sugar Cubes (2pack),Garnish,Stock,1234500000011,0.0,0.0,Airport,Bonnecaze,,0.08,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0502,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
