Product,Customer,Count,Mean,Std,Min,Max,25,50,75
291 Single Barrel Rye 750ml,Customer Square 2,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0
291 Single Barrel Rye 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
400 Conejos Espadin 750ml,Customer Square 1,10,0.46153846153846156,1.1512791959304431,0,5,0.0,0.0,0.0
400 Conejos Espadin 750ml,Customer Square 2,9,0.2692307692307692,0.7368170792564621,0,4,0.0,0.0,0.0
400 Conejos Espadin 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
42 Below 1L,Customer Square 1,5,0.09615384615384616,0.2948021099376133,0,1,0.0,0.0,0.0
42 Below 1L,Customer Square 2,17,0.4230769230769231,0.6890951102757276,0,3,0.0,0.0,1.0
42 Below 1L,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
512 Cascabel Cream Stout 4pk Bottles,Customer Square 1,3,0.19230769230769232,0.7854068406408513,0,4,0.0,0.0,0.0
512 Cascabel Cream Stout 4pk Bottles,Customer Square 2,6,0.23076923076923078,0.749753411139151,0,4,0.0,0.0,0.0
512 Cascabel Cream Stout 4pk Bottles,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
512 Citra Summer 6pk Bottles,Customer Square 1,5,0.1346153846153846,0.4397921779242027,0,2,0.0,0.0,0.0
512 Citra Summer 6pk Bottles,Customer Square 2,6,0.15384615384615385,0.455083060238432,0,2,0.0,0.0,0.0
512 Citra Summer 6pk Bottles,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
512 IPA 6pk Bottles,Customer Square 1,31,1.1923076923076923,1.209552707193568,0,4,0.0,1.0,2.0
512 IPA 6pk Bottles,Customer Square 2,34,1.3269230769230769,1.7836992011650075,0,10,0.0,1.0,2.0
512 IPA 6pk Bottles,Customer Square 3,21,0.5,0.7205766921228921,0,3,0.0,0.0,1.0
512 Nut Brown 6pk Bottles,Customer Square 1,4,0.07692307692307693,0.2664693550105965,0,1,0.0,0.0,0.0
512 Nut Brown 6pk Bottles,Customer Square 2,7,0.15384615384615385,0.41065685584735806,0,2,0.0,0.0,0.0
512 Nut Brown 6pk Bottles,Customer Square 3,4,0.07692307692307693,0.2664693550105965,0,1,0.0,0.0,0.0
512 Pale 6 Pack Bottles,Customer Square 1,21,0.5192307692307693,0.7203200307818479,0,3,0.0,0.0,1.0
512 Pale 6 Pack Bottles,Customer Square 2,12,0.34615384615384615,0.7816308243423683,0,4,0.0,0.0,0.0
512 Pale 6 Pack Bottles,Customer Square 3,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0
512 Pecan Porter 4pk Bottles,Customer Square 1,12,0.6346153846153846,1.652839586355812,0,9,0.0,0.0,0.0
512 Pecan Porter 4pk Bottles,Customer Square 2,19,0.6346153846153846,1.0195935493701203,0,5,0.0,0.0,1.0
512 Pecan Porter 4pk Bottles,Customer Square 3,7,0.1346153846153846,0.341312295178824,0,1,0.0,0.0,0.0
512 Seasonal 6pk 12oz Cans,Customer Square 1,10,0.38461538461538464,1.0219484811989554,0,6,0.0,0.0,0.0
512 Seasonal 6pk 12oz Cans,Customer Square 2,10,0.36538461538461536,0.8092932850961853,0,3,0.0,0.0,0.0
512 Seasonal 6pk 12oz Cans,Customer Square 3,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0
512 Smash Mosaic 6 Pack Bottles,Customer Square 1,26,0.7692307692307693,0.9326427425370877,0,3,0.0,0.5,1.0
512 Smash Mosaic 6 Pack Bottles,Customer Square 2,13,0.36538461538461536,0.8327167344081142,0,5,0.0,0.0,0.25
512 Smash Mosaic 6 Pack Bottles,Customer Square 3,6,0.11538461538461539,0.3194855331891567,0,1,0.0,0.0,0.0
512 Wit 6 Pack Bottles,Customer Square 1,14,0.34615384615384615,0.6165853669954383,0,2,0.0,0.0,1.0
512 Wit 6 Pack Bottles,Customer Square 2,7,0.1346153846153846,0.341312295178824,0,1,0.0,0.0,0.0
512 Wit 6 Pack Bottles,Customer Square 3,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0
512 Young Funkenstein 750ml,Customer Square 1,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0
512 Young Funkenstein 750ml,Customer Square 2,1,0.038461538461538464,0.27467032417472503,0,2,0.0,0.0,0.0
512 Young Funkenstein 750ml,Customer Square 3,4,0.07692307692307693,0.2664693550105965,0,1,0.0,0.0,0.0
6 Pack Bike Carrier,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0
6 Pack Bike Carrier,Customer Square 2,1,0.0,0.0,0,0,0.0,0.0,0.0
6 Pack Bike Carrier,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
99 Apple Schnapps 50ml,Customer Square 1,48,12.826923076923077,8.243228348739798,0,47,7.75,13.0,17.25
99 Apple Schnapps 50ml,Customer Square 2,27,2.480769230769231,4.6471264264778345,0,27,0.0,1.0,2.0
99 Apple Schnapps 50ml,Customer Square 3,33,3.6923076923076925,4.10224357722258,0,16,0.0,2.5,7.0
