Category,SKU,ProductName,Location,Bin,BatchSerialNumber,ExpiryDate,Discount,StockValue,OnHand,VolumeOnHand,Available,OnOrder,InTransit,Allocated,Status,Unit,Family,StockLocator,Brand,PriceTier1,PriceTier2,PriceTier3,NextDeliveryDate
"Bar Tools","1234500000043","Cocktail Kingdom Cork Dasher Top","Airport","","",,"",7.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",6.0000,5.0000,5.0000,
"Bar Tools","1234500000044","Cocktail Kingdom Dash Dart Stainless 50ml","Airport","","",,"",5.9300,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",8.0000,8.0000,8.0000,
"Bar Tools","1234500000044","Cocktail Kingdom Dash Dart Stainless 50ml","Pleasant Valley","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",8.0000,8.0000,8.0000,
"Bar Tools","791090525688","Cocktail Kingdom Ice Ball Mold","Airport","","",,"",55.0000,10.0000,0.0000,10.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",10.0000,7.0000,7.0000,
"Bar Tools","791090525688","Cocktail Kingdom Ice Ball Mold","Oak Hill","","",,"",33.0000,6.0000,0.0000,6.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",10.0000,7.0000,7.0000,
"Bar Tools","791090525688","Cocktail Kingdom Ice Ball Mold","Pleasant Valley","","",,"",99.0000,18.0000,0.0000,18.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",10.0000,7.0000,7.0000,
"Bar Tools","123484","Cocktail Kingdom Ice Mallet","Airport","","",,"",48.7500,5.0000,0.0000,5.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",17.0000,13.0000,13.0000,
"Bar Tools","123484","Cocktail Kingdom Ice Mallet","Oak Hill","","",,"",29.2500,3.0000,0.0000,3.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",17.0000,13.0000,13.0000,
"Bar Tools","123484","Cocktail Kingdom Ice Mallet","Pleasant Valley","","",,"",58.5000,6.0000,0.0000,6.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",17.0000,13.0000,13.0000,
"Bar Tools","123485","Cocktail Kingdom Ice Pick","Airport","","",,"",75.5400,6.0000,0.0000,6.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",17.0000,14.0000,14.0000,
"Bar Tools","123485","Cocktail Kingdom Ice Pick","Pleasant Valley","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",17.0000,14.0000,14.0000,
"Bar Tools","791090525671","Cocktail Kingdom Ice Tray 1.25in","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",10.0000,7.0000,7.0000,
"Bar Tools","791090525671","Cocktail Kingdom Ice Tray 1.25in","Oak Hill","","",,"",89.0000,17.0000,0.0000,17.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",10.0000,7.0000,7.0000,
"Bar Tools","791090525671","Cocktail Kingdom Ice Tray 1.25in","Pleasant Valley","","",,"",102.0000,17.0000,0.0000,17.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",10.0000,7.0000,7.0000,
"Bar Tools","791090525930","Cocktail Kingdom Ice Tray 2.5in","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",12.0000,8.5000,8.5000,
"Bar Tools","791090525930","Cocktail Kingdom Ice Tray 2.5in","Oak Hill","","",,"",52.0000,8.0000,0.0000,8.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",12.0000,8.5000,8.5000,
"Bar Tools","791090525930","Cocktail Kingdom Ice Tray 2.5in","Pleasant Valley","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",12.0000,8.5000,8.5000,
"Bar Tools","791090525657","Cocktail Kingdom Ice Tray 2in","Airport","","",,"",77.0000,14.0000,0.0000,14.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",10.0000,6.5000,6.5000,
