Action,ProductSKU,ProductName,Location,MinimumBeforeReorder,ReorderQuantity,Stock Locator,PickZones
Create/Update,680144007655,Antichi Baronati Marsala Fine Sweet 750ml,Customer Square 1,0,2,,
Create/Update,864549000224,Antichi Marsala Fine Dry 750ml,Customer Square 1,0,2,,
Create/Update,865922000367,Anxo Cidre Blanc Cans 4 Pack,Customer Square 1,1,6,,
Create/Update,860000536127,Anxo District Dry Cans 4 Pack,Customer Square 1,0,6,,
Create/Update,865922000343,Anxo Rose Cider 4pk,Customer Square 1,1,6,,
Create/Update,887341340060,Aperol 375ml,Customer Square 1,0,12,,
Create/Update,721059001311,Aperol 750ml,Customer Square 1,5,6,,
Create/Update,023165013357,Apologue Celery Root 375ml,Customer Square 1,0,4,,
Create/Update,023165013425,Apologue Saffron 375ml,Customer Square 1,0,4,,
Create/Update,812483030012,Apostoles Gin 750ml,Customer Square 1,0,3,,
Create/Update,721059001557,Appleton Estate 12y 750ml,Customer Square 1,1,10,,
Create/Update,636191212405,Appleton Estate 15y Black River Casks 750ml,Customer Square 1,0,6,,
Create/Update,721059001090,Appleton Estate 21y 750ml,Customer Square 1,0,1,,
Create/Update,636191207401,Appleton Estate 8 Year Reserve 750ml,Customer Square 1,0,6,,
Create/Update,721059001540,Appleton Estate Reserve 750ml,Customer Square 1,0,12,,
Create/Update,721059001502,Appleton Estate Signature Blend 750ml,Customer Square 1,0,12,,
Create/Update,739949800012,Arak Razzouk Anise 750ml,Customer Square 1,0,12,,
Create/Update,3770007291011,Arbalest Red Bordeaux 750ml,Customer Square 1,2,12,,
Create/Update,083300072106,Ardbeg 10y 750ml,Customer Square 1,0,6,,
Create/Update,081753829315,Ardbeg An Oa 750ml,Customer Square 1,0,6,,
Create/Update,081753816247,Ardbeg Corryvreckan 750ml,Customer Square 1,0,6,,
Create/Update,083300072045,Ardbeg Uigeadail 750ml,Customer Square 1,0,6,,
Create/Update,081753832902,Ardbeg Wee Beastie 750ml,Customer Square 1,1,6,,
Create/Update,704228056121,Arette Artesanal Anejo 750ml,Customer Square 1,0,3,,
Create/Update,704228202009,Arette Artesanal Blanco 750ml,Customer Square 1,0,3,,
Create/Update,704228203006,Arette Artesanal Reposado 750ml,Customer Square 1,1,3,,
Create/Update,704228011212,Arette Blanco 1L,Customer Square 1,4,12,,
Create/Update,704228201033,Arette Gran Classe Extra Anejo 750ml,Customer Square 1,0,1,,
Create/Update,704228014213,Arette Reposado 1L,Customer Square 1,1,12,,
Create/Update,613008726096,Arizona Lemonade,Customer Square 1,3,24,,
Create/Update,613008717711,Arizona Sweet Tea,Customer Square 1,3,24,,
Create/Update,613008720209,Arizona Watermelon,Customer Square 1,0,24,,
Create/Update,6009683470937,Arra ZA Cape Blend 2012 750ml,Customer Square 1,0,6,,
Create/Update,892032050005,Arran 10y 750ml,Customer Square 1,0,6,,
Create/Update,851805000586,Arran 21y 750ml,Customer Square 1,0,6,,
Create/Update,618115103068,ArteNom 1123 Blanco Historico 750ml,Customer Square 1,0,2,,
Create/Update,618115113036,ArteNom 1146 Anejo 750ml,Customer Square 1,0,2,,
Create/Update,618115103020,ArteNom 1414 Reposado 750ml,Customer Square 1,0,2,,
Create/Update,618115103051,ArteNom 1579 Blanco 750ml,Customer Square 1,0,3,,
Create/Update,760080899054,Arton Peche De Vigne 750ml,Customer Square 1,0,2,,
Create/Update,855352008118,Athletic Cerveza N/A 6 Pack Cans,Customer Square 1,0,4,,
Create/Update,850483000611,Auchentoshan 12y 750ml,Customer Square 1,0,6,,
Create/Update,859141004091,Auchentoshan American Oak 750ml,Customer Square 1,0,6,,
Create/Update,850483000598,Auchentoshan Three Wood 750ml,Customer Square 1,0,6,,
Create/Update,080480005672,Aultmore 12y 750ml,Customer Square 1,0,6,,
Create/Update,80480984328,Aultmore 21y 750ml,Customer Square 1,0,6,,
Create/Update,852895003150,Austin Beerworks Bloodwork IPA Cans 6 Pack,Customer Square 1,3,8,,
Create/Update,852895003006,Austin Beerworks Fire Eagle Cans 6 Pack,Customer Square 1,6,8,,
Create/Update,852895003419,Austin Beerworks Flavor Country 12pk Cans,Customer Square 1,2,6,,
Create/Update,852895003266,Austin Beerworks Flavor Country Cans 6 Pack,Customer Square 1,3,8,,
Create/Update,852895003013,Austin Beerworks Peacemaker Cans 6 Pack,Customer Square 1,3,8,,
Create/Update,852895003402,Austin Beerworks Pearl Snap 12pk Cans,Customer Square 1,2,2,,
Create/Update,852895003020,Austin Beerworks Pearl-Snap Cans 6 Pack,Customer Square 1,6,8,,
Create/Update,856931008000,Austin Reserve Gin 50ml,Customer Square 1,0,24,,
Create/Update,864286000006,Austin Reserve Gin 750ml,Customer Square 1,2,6,,
Create/Update,86718029783,Austin Shaker 4 Bottle Tote bag,Customer Square 1,0,100,,
Create/Update,123518,Austin Shaker Corkscrew,Customer Square 1,2,100,,
Create/Update,094922525017,Averell Damson Gin Liqueur 750ml,Customer Square 1,0,2,,
Create/Update,8000400203942,Averna Amaro 750ml,Customer Square 1,1,6,,
Create/Update,736040523901,Aveze Gentiane Liqueur 1L,Customer Square 1,0,2,,
Create/Update,857050005055,Aviation Gin 50ml,Customer Square 1,0,60,,
Create/Update,853507000024,Aviation Gin 750ml,Customer Square 1,0,6,,
Create/Update,853507000727,Aviation Old Tom Gin 750ml,Customer Square 1,0,6,,
Create/Update,080432110430,Avion Anejo 1L,Customer Square 1,0,6,,
Create/Update,080432110423,Avion Reposado 1L,Customer Square 1,0,6,,
Create/Update,080432110447,Avion Silver 1L,Customer Square 1,0,6,,
Create/Update,856146006013,Avua Amburana Cachaca 750ml,Customer Square 1,0,6,,
Create/Update,856146006136,Avua Balsamo Cachaca 750ml,Customer Square 1,0,6,,
Create/Update,856146006006,Avua Prata Cachaca 750ml,Customer Square 1,0,6,,
Create/Update,9338520005016,B'Lure Butterfly Pea Extract 100ml,Customer Square 1,0,6,,
Create/Update,042037111137,BC Powder 2 Pack,Customer Square 1,1,50,,
Create/Update,854997002093,BG Reynolds Orgeat 750ml,Customer Square 1,1,6,,
Create/Update,854997002109,BG Reynolds Paradise Blend 750ml,Customer Square 1,0,2,,
Create/Update,854997002154,BG Reynolds Passion Fruit 750ml,Customer Square 1,0,2,,
Create/Update,854997002130,BG Reynolds Tiki Spices 750ml,Customer Square 1,0,2,,
Create/Update,080480505400,Bacardi 8 750ml,Customer Square 1,0,12,,
Create/Update,080480983390,Bacardi Anejo 4 Year 1L,Customer Square 1,0,6,,
Create/Update,080480005252,Bacardi Black 1L,Customer Square 1,0,12,,
Create/Update,080480400620,Bacardi Coconut 1L,Customer Square 1,0,12,,
Create/Update,080480026219,Bacardi Gold 50ml,Customer Square 1,17,120,,
Create/Update,080480983406,Bacardi Gran Reserva Diez 750ml,Customer Square 1,0,6,,
Create/Update,080480016210,Bacardi Silver 50ml,Customer Square 1,11,120,,
Create/Update,080480015305,Bacardi Superior 1L,Customer Square 1,1,12,,
Create/Update,080480015602,Bacardi Superior 375ml,Customer Square 1,3,24,,
