ProductName,Category,Pleasant Valley,Warehouse
El Tequileno Blanco 1L,Tequila,-1.0,24.0
El Tesoro Paradiso Extra Anejo 750ml,Tequila,0.0,5.0
El Tesoro Reposado De Nada Barrel 750ml,Tequila,-1.0,24.0
El Tesoro Reposado Nickel City Barrel 750ml,Tequila,0.0,24.0
El Toro Gold 1L,Tequila,0.0,17.0
Elena Gin 750ml,Gin,0.0,10.0
Elenita Passionfruit Paloma 4 Pack,RTD,0.0,11.0
Elenita Strawberry Mule 4 Pack,RTD,0.0,96.0
Elijah Craig 18y 750ml,Whiskey Bourbon/American,0.0,9.0
Elijah Craig Barrel Lambert's 6234359 750ml,Whiskey Bourbon/American,-1.0,24.0
Elijah Craig Barrel Proof 750ml,Whiskey Bourbon/American,0.0,38.0
Elijah Craig Toasted Barrel 750ml,Whiskey Bourbon/American,0.0,6.0
Ellington Farms Pineapple Juice 46oz,Non Alcoholic Beverage,-1.0,120.0
Elmer T Lee 100 year 750ml,Whiskey Bourbon/American,0.0,1.0
Empress 1908 Gin 1L,Gin,-1.0,11.0
Engine Gin 750ml,Gin,0.0,9.0
Epic Western Chispa Rita 12oz 4pk,RTD,-1.0,12.0
Epic Western La Paloma 12oz 4pk,RTD,-1.0,12.0
Espina Negra Espadin 750ml,Mezcal,0.0,1.0
Espolon Reposado 1L,Tequila,0.0,17.0
Estrella Damm Bottle 24pk/cs,Craft Beer,-1.0,9.0
Exotico Blanco 1L,Tequila,0.0,123.0
FEW Bourbon Whiskey 750ml,Whiskey Bourbon/American,0.0,1.0
Faire La Fete Brut 750ml,Bubbles,0.0,9.0
Fee Brothers Aromatic Bitters 5oz,Bitters,0.0,11.0
Fee Brothers Bokers Cardamom Bitters 5oz,Bitters,0.0,28.0
Fee Brothers Gin Barrel Orange Bitters 5oz,Bitters,0.0,40.0
Fee Brothers Toasted Almond Bitters 5oz,Bitters,0.0,7.0
