,SKU,Product,Customer,Location,Status,Category,OnHand,Quantity,Sale,Unit
85,856491003132,291 Barrel Proof Bourbon 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Bourbon/American,0.0,,,
86,856491003057,291 Single Barrel Rye 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Rye,0.0,,,
87,856491003057,291 Single Barrel Rye 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Rye,0.0,,,
88,856491003057,291 Single Barrel Rye 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Rye,0.0,2.0,179.98,89.99
89,757725777013,3 Ball Zinfandel 2012 750ml,Customer Square 1,Airport,DEPRECATED,Red Zinfandel,0.0,,,
90,757725777013,3 Ball Zinfandel 2012 750ml,Customer Square 2,Pleasant Valley,DEPRECATED,Red Zinfandel,0.0,,,
91,811538013628,400 Conejos Espadin 750ml,Customer Square 1,Airport,ACTIVE,Mezcal,7.0,144.0,4174.56,28.990000000000002
92,811538013628,400 Conejos Espadin 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,7.0,77.0,2232.23,28.990000000000002
93,811538013628,400 Conejos Espadin 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Mezcal,5.0,24.0,695.76,28.99
94,080480284312,42 Below 1L,Customer Square 1,Airport,ACTIVE,Vodka,4.0,7.0,132.93,18.990000000000002
95,080480284312,42 Below 1L,Customer Square 3,Oak Hill,ACTIVE,Vodka,0.0,,,
96,080480284312,42 Below 1L,Customer Square 2,Pleasant Valley,ACTIVE,Vodka,5.0,2.0,37.98,18.99
97,833597009688,44 North Potato Vodka 750ml,Customer Square 3,Oak Hill,ACTIVE,Vodka,9.0,3.0,83.97,27.99
98,450450420420,450 North Jungle Juice 16oz Single,Customer Square 1,Airport,ACTIVE,Craft Beer,15.0,9.0,71.91,7.989999999999999
99,450450450450,450 North Unicorn Juice 16oz Single,Customer Square 1,Airport,ACTIVE,Craft Beer,12.0,30.0,239.7,7.989999999999999
100,450450450450,450 North Unicorn Juice 16oz Single,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,0.0,6.0,47.94,7.989999999999999
101,852674006228,512 Belgian Style Tripel 4-pack,Customer Square 1,Airport,ACTIVE,Craft Beer,3.0,3.0,32.97,10.99
102,852674006198,512 Cascabel Cream Stout 4pk Bottles,Customer Square 1,Airport,ACTIVE,Craft Beer,2.0,,,
103,852674006198,512 Cascabel Cream Stout 4pk Bottles,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,0.0,,,
104,852674006389,512 Citra Summer 6pk Bottles,Customer Square 1,Airport,ACTIVE,Craft Beer,0.0,,,
105,852674006389,512 Citra Summer 6pk Bottles,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,0.0,,,
106,852674006013,512 Double Pecan Porter 750ml,Customer Square 1,Airport,ACTIVE,Craft Beer,6.0,12.0,215.88,17.99
107,852674006013,512 Double Pecan Porter 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,0.0,6.0,107.94,17.99
108,852674006068,512 IPA 6pk Bottles,Customer Square 1,Airport,ACTIVE,Craft Beer,1.0,18.0,197.82,10.99
109,852674006068,512 IPA 6pk Bottles,Customer Square 3,Oak Hill,ACTIVE,Craft Beer,0.0,14.0,153.86,10.99
