Action,ProductSKU,ProductName,Location,MinimumBeforeReorder75,MinimumBeforeReorder85,ReorderQuantity,75Savings,85Savings,Stock Locator,PickZones
Create/Update,850009098078,Senor Sotol Durango 750ml,Customer Square 2,0,0,6,75.98,75.98,,
Create/Update,850101001136,Siembra Valles Ancestral 750ml,Customer Square 2,0,0,1,122.99,122.99,,
Create/Update,850101001440,Siembra Valles Blanco 750ml,Customer Square 2,0,1,4,99.98,49.99,,
Create/Update,850101001310,Siembra Valles Blanco High Proof 750ml,Customer Square 2,1,1,2,,,,
Create/Update,666392839057,Sierra Due Leoni Pinot Grigio 750ml,Customer Square 2,1,2,12,26.97,17.98,,
Create/Update,618053113341,Sierra Norte Black 750ml,Customer Square 2,0,0,2,59.99,59.99,,
Create/Update,618053413342,Sierra Norte Yellow Corn 750ml,Customer Square 2,0,0,2,49.99,49.99,,
Create/Update,860240019190,Siete Leguas Anejo 750ml,Customer Square 2,0,0,6,123.98,123.98,,
Create/Update,860240018964,Siete Leguas Blanco 750ml,Customer Square 2,0,1,6,167.97,111.98,,
Create/Update,860240019022,Siete Leguas Reposado 750ml,Customer Square 2,0,1,6,167.97,111.98,,
Create/Update,7804670300018,Siete Perros Cabernet Sauvignon 750ml,Customer Square 2,1,2,12,69.95,55.96,,
Create/Update,7500326308819,Siglo Cero Pox 750ml,Customer Square 2,0,0,3,39.99,39.99,,
Create/Update,1309413094,Silver Oak Alexander Cabernet Library 750ml,Customer Square 2,0,0,6,112.99,112.99,,
Create/Update,785214290750,Silver Oak Napa Cabernet Sauvignon 750ml,Customer Square 2,0,0,12,139.99,139.99,,
Create/Update,7771612000162,Singani 63 750ml,Customer Square 2,0,0,2,33.99,33.99,,
Create/Update,088076180574,Singleton 12y 750ml,Customer Square 2,0,0,6,99.98,99.98,,
Create/Update,5060204341809,Sipsmith Lemon Drizzle Gin 750ml,Customer Square 2,0,0,6,221.94,221.94,,
Create/Update,720815270039,Sipsmith London Dry 750ml,Customer Square 2,1,1,6,36.99,36.99,,
Create/Update,720815270237,Sipsmith Sloe Gin 750ml,Customer Square 2,0,0,6,83.98,83.98,,
Create/Update,720815270138,Sipsmith VJOP 750ml,Customer Square 2,0,0,6,49.99,49.99,,
Create/Update,789764340132,Skinos Mastiha 750ml,Customer Square 2,0,0,2,29.99,29.99,,
Create/Update,860265002405,Skrewball Peanut Butter Whiskey 750ml,Customer Square 2,1,2,6,0.0,-29.99,,
Create/Update,721059631006,Skyy Vodka Raspberry 1L,Customer Square 2,0,0,12,83.96,83.96,,
Create/Update,195893155033,Slow Luck Non-Alcoholic 750ml,Customer Square 2,0,0,12,111.96,111.96,,
Create/Update,082000000051,Smirnoff Vodka 1L,Customer Square 2,0,0,12,131.94,131.94,,
Create/Update,5021692500949,Smith and Cross Rum 750ml,Customer Square 2,1,2,12,,,,
Create/Update,080432901113,Smithworks Vodka 1L,Customer Square 2,0,0,12,95.96,95.96,,
Create/Update,858764003016,Smoke Wagon Small Batch 750ml,Customer Square 2,1,2,6,0.0,-64.99,,
Create/Update,858764003122,Smoke Wagon Straight Bourbon 750ml,Customer Square 2,2,2,6,-33.99,-33.99,,
Create/Update,858764003047,Smoke Wagon Uncut Bourbon 750ml,Customer Square 2,1,3,6,0.0,-171.98,,
Create/Update,854570002250,Smooth Ambler Contradiction 92 Proof 750ml,Customer Square 2,0,0,6,89.98,89.98,,
Create/Update,854570002397,Smooth Ambler Contradiction Rye 750ml,Customer Square 2,0,0,6,77.98,77.98,,
Create/Update,876718034619,Smuggle Set Collapsible Flasks,Customer Square 2,0,1,12,39.0,32.5,,
Create/Update,9781607747321,Smugglers Cove,Customer Square 2,0,1,4,90.0,60.0,,
