,Name,SKU,Category,Price,Enabled 1,Enabled 2,Enabled 3,Enabled Warehouse,Tax 1,Tax 2
4770,Montucky Cold Snacks Cans 12 Pack,818490010597,Dom Beer,12.99,N,Y,N,N,Y,Y
4771,Montucky Cold Snacks Cans 6 Pack,818490010580,Dom Beer,6.99,Y,N,Y,Y,Y,N
4772,Montucky Cold Snacks Cans 6 Pack,818490010580,Dom Beer,6.99,N,Y,N,N,Y,Y
4786,Ms. Betters Bitters Foamer 4oz,7 70327 45110 5,Bitters,28.00,Y,N,N,Y,Y,N
4787,Ms. Betters Bitters Foamer 4oz,770327451105,Bitters,28.00,N,Y,N,N,Y,Y
4788,Ms. Betters Bitters Foamer 4oz,770327451105,Bitters,28.00,N,N,Y,N,Y,N
4956,Odell Elephunk Bottle 12oz,722160222114,Craft Beer,9.99,N,Y,N,N,Y,Y
4992,Old Forester 1920 Prohibition 750ml,081128001155,Whiskey Bourbon/American,64.99,N,Y,Y,Y,Y,Y
4994,Old Forester 86 175L,81128005009,Whiskey Bourbon/American,39.99,N,N,Y,N,Y,N
4995,Old Forester 86 1L,081128005047,Whiskey Bourbon/American,24.99,Y,N,Y,Y,Y,N
4996,Old Forester 86 1L,081128005047,Whiskey Bourbon/American,24.99,N,Y,N,N,Y,Y
4997,Old Forester 86 375ml,081128005139,Whiskey Bourbon/American,9.99,Y,Y,N,Y,Y,Y
4998,Old Forester 86 375ml,081128005139,Whiskey Bourbon/American,9.99,N,N,Y,N,Y,N
4999,Old Forester 86 50ml,081128000035,Whiskey Bourbon/American,1.99,Y,Y,N,Y,Y,Y
5000,Old Forester 86 50ml,081128000035,Whiskey Bourbon/American,1.99,N,N,Y,N,Y,N
5002,Old Forester Birthday Bourbon 2018 750ml,81128002190,Whiskey Bourbon/American,139.99,N,N,Y,N,Y,N
5013,Old Forester Whiskey Row Series: 1920 Prohibition Style,081128001155,,64.99,Y,N,N,N,Y,N
5029,Old Overholt Rye Bonded 750ml,080686441014,Whiskey Rye,27.99,Y,Y,N,Y,Y,Y
5037,Olde English 800 24oz,3461219,Dom Beer,1.99,N,Y,N,N,Y,Y
5038,Olde English 800 24oz,3461219,Dom Beer,1.99,N,N,Y,N,Y,N
5043,Olmeca Altos Plata 1L,080432106983,Tequila,36.99,Y,N,N,N,Y,N
5044,Olmeca Altos Plata 1L,080432106983,Tequila,36.99,N,Y,Y,Y,Y,Y
5045,Olmeca Altos Plata 375ml,080432108260,Tequila,11.99,N,Y,N,N,Y,Y
5046,Olmeca Altos Plata 375ml,080432108260,Tequila,11.99,Y,N,Y,Y,Y,N
5047,Olmeca Altos Plata 50ml,080432108543,Tequila,2.99,N,Y,N,N,Y,Y
5050,Olmeca Altos Reposado 1L,080432106990,Tequila,36.99,Y,N,N,N,Y,N
5051,Olmeca Altos Reposado 1L,080432106990,Tequila,36.99,N,Y,Y,Y,Y,Y
5052,Olmeca Altos Reposado 375ml,080432108307,Tequila,11.99,N,Y,N,N,Y,Y
5053,Olmeca Altos Reposado 375ml,080432108307,Tequila,11.99,Y,N,Y,Y,Y,N
5091,Owl and Whale Acid Phosphate 4oz,866879000110,Bitters,11.99,Y,N,N,N,Y,N
5094,Owl and Whale Blueberry Phosphate 4oz,866879000127,Bitters,15.99,Y,N,N,N,Y,N
5112,Pabst Blue Ribbon Cans 12 Pack,022100001701,Dom Beer,10.99,N,N,Y,N,Y,N
