,SKU,Product,Customer,Location,Status,Category,OnHand,Quantity,Sale,Unit
4639,753677291515,Dashfire Star Anise Bitters 100ml,Customer Square 1,Airport,ACTIVE,Bitters,3.0,,,
4642,753677291492,Dashfire Star Sichuan Bitters 100ml,Customer Square 3,Oak Hill,ACTIVE,Bitters,1.0,,,
4653,088352139487,Daviess County American Oak 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Bourbon/American,6.0,,,
4654,088352134796,Daviess County Cabernet Finish 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Bourbon/American,6.0,,,
4655,088352136431,Daviess County Double Barrel 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Bourbon/American,6.0,,,
4656,088352134802,Daviess County French Oak 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Bourbon/American,6.0,,,
4657,088352134291,Daviess County Straight Bourbon 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Bourbon/American,6.0,,,
4661,785221300909,De Dolle Bos Keun 330ml,Customer Square 1,Airport,ACTIVE,Craft Beer,1.0,,,
4663,9329549000106,De Iuliis Shiraz 750ml,Customer Square 3,Oak Hill,ACTIVE,Red New World,4.0,,,
4668,7804670300049,De Otro Planeta Cabernet Franc 750ml,Customer Square 1,Airport,ACTIVE,Red,12.0,,,
4669,7804670300049,De Otro Planeta Cabernet Franc 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Red,12.0,,,
4677,859266003184,Deaths Door Gin 1L,Customer Square 1,Airport,ACTIVE,Gin,2.0,,,
4678,859266003184,Deaths Door Gin 1L,Customer Square 3,Oak Hill,ACTIVE,Gin,2.0,,,
4770,00850030152428,DEHY Blood Orange Jar,Customer Square 3,Oak Hill,ACTIVE,Garnish,3.0,,,
4771,00850030152428,DEHY Blood Orange Jar,Customer Square 2,Pleasant Valley,ACTIVE,Garnish,9.0,,,
4782,102710271027,DEHY Garnishes,Customer Square 2,Pleasant Valley,ACTIVE,Garnish,40.0,,,
4792,00850030152503,DEHY Lemon Jar,Customer Square 3,Oak Hill,ACTIVE,Garnish,3.0,,,
4816,00850030152107,DEHY Orange Petal Garnishes,Customer Square 2,Pleasant Valley,ACTIVE,Garnish,1.0,,,
4843,080686381204,DEK Triple Sec 1L,Customer Square 2,Pleasant Valley,ACTIVE,Liqueur,1.0,,,
4846,852140005021,Del Bac Dorado 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey American Single Malt,2.0,,,
4852,618397201391,Del Maguey Barril 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,2.0,,,
4861,618397201018,Del Maguey Espadin Especial 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,2.0,,,
4873,618397201308,Del Maguey Madrecuixe 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,2.0,,,
4876,618397960021,Del Maguey Minero 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,2.0,,,
4879,618397010016,Del Maguey Pechuga 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,1.0,,,
4887,618397201223,Del Maguey San Jose Rio Minas 750ml,Customer Square 1,Airport,ACTIVE,Mezcal,1.0,,,
4891,618397950015,Del Maguey San Luis del Rio 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,2.0,,,
4893,618397110013,Del Maguey San Luis del Rio Azul 750ml,Customer Square 1,Airport,ACTIVE,Mezcal,5.0,,,
4894,618397110013,Del Maguey San Luis del Rio Azul 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,2.0,,,
4899,618397201230,Del Maguey San Pedro Taviche 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,2.0,,,
4914,618397202114,Del Maguey Vida de Muertos 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,11.0,,,
4933,898498001056,Denizen Vatted Dark Rum 750ml,Customer Square 3,Oak Hill,ACTIVE,Rum,3.0,,,
4938,8053629650042,Denny Bini Lambrusco Dellemilla 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Red,12.0,,,
4950,613739980866,Derrumbes Guerrero 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,2.0,,,
4951,613739980866,Derrumbes Guerrero 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Mezcal,4.0,,,
4956,7503019735541,Derrumbes Michoacan Chino Alto 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,3.0,,,
4959,613739980552,Derrumbes Oaxaca 200ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,6.0,,,
4969,708747152838,Derrumbes San Luis Potosi Salmiana 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Mezcal,2.0,,,
4974,708747152913,Derrumbes Tamaulipas Ensamble 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,3.0,,,
4980,708747152920,Derrumbes Zacatecas Blue Weber 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,6.0,,,
4987,850030413024,Desert Door Texas Sotol 1L,Customer Square 3,Oak Hill,ACTIVE,Sotol,4.0,,,
5019,080480005221,Dewars 15y 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,1.0,,,
5031,80480984427,Dewars Double Double 32y 375ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,1.0,,,
5038,717872727446,Diaz Brothers Cacao Pechuga 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,1.0,,,
5040,717872727477,Diaz Brothers Espadin 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,1.0,,,
5042,717872727453,Diaz Brothers Mexicano 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,1.0,,,
5061,082000792242,Dickel Grackle Single Barrel 15y 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Bourbon/American,6.0,,,
5062,082000792242,Dickel Grackle Single Barrel 15y 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Bourbon/American,7.0,,,
5088,04965802,Diet Coke Can 12oz,Customer Square 2,Pleasant Valley,ACTIVE,Non Alcoholic Beverage,37.0,,,
5095,094922277626,Dimmi Liqueur 750ml,Customer Square 1,Airport,ACTIVE,Liqueur,4.0,,,
5097,094922277626,Dimmi Liqueur 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Liqueur,1.0,,,
5101,081382301121,Dingle Irish Whiskey Batch 4 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Irish,1.0,,,
5102,081382301121,Dingle Irish Whiskey Batch 4 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Irish,2.0,,,
5106,7594003626167,Diplomatico Ambassador Selection 750ml,Customer Square 3,Oak Hill,ACTIVE,Rum,2.0,,,
5112,7594003626723,Diplomatico Distillery No2 750ml,Customer Square 3,Oak Hill,ACTIVE,Rum,3.0,,,
5114,7594003629236,Diplomatico Distillery No3 750ml,Customer Square 3,Oak Hill,ACTIVE,Rum,1.0,,,
5133,851302002533,Dirty Sue Double Stuffed Olives 16oz,Customer Square 3,Oak Hill,ACTIVE,Garnish,17.0,,,
5134,851302002533,Dirty Sue Double Stuffed Olives 16oz,Customer Square 2,Pleasant Valley,ACTIVE,Garnish,18.0,,,
5138,851302002601,Dirty Sue Jalapeno Stuffed Onions 16oz,Customer Square 1,Airport,ACTIVE,Garnish,12.0,,,
5139,851302002601,Dirty Sue Jalapeno Stuffed Onions 16oz,Customer Square 3,Oak Hill,ACTIVE,Garnish,12.0,,,
5140,851302002601,Dirty Sue Jalapeno Stuffed Onions 16oz,Customer Square 2,Pleasant Valley,ACTIVE,Garnish,12.0,,,
5146,644216664566,Dirty Sue Whiskey Cherries 16oz,Customer Square 1,Airport,ACTIVE,Garnish,12.0,,,
5183,038900008086,Dole Pineapple Juice 46oz,Customer Square 2,Pleasant Valley,ACTIVE,Non Alcoholic Beverage,13.0,,,
5216,0879039002930,Dom de l'ecu Classic Muscadet 750ml,Customer Square 1,Airport,ACTIVE,White,3.0,,,
5219,855082001021,Dom Fichet Macon Chardonnay 2019 750ml,Customer Square 2,Pleasant Valley,ACTIVE,White,12.0,,,
5248,76008520017,Domaine La Coche Sauvignon Blanc 750ml,Customer Square 1,Airport,ACTIVE,White,1.0,,,
5249,76008520017,Domaine La Coche Sauvignon Blanc 750ml,Customer Square 2,Pleasant Valley,ACTIVE,White,1.0,,,
5264,618115946054,Don Amado Anejo 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,1.0,,,
5271,618115946047,Don Amado Rustico 750ml,Customer Square 1,Airport,ACTIVE,Mezcal,2.0,,,
5273,618115946047,Don Amado Rustico 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Mezcal,3.0,,,
5274,852660004405,Don Ciccio & Figli Amaro Tonico Ferro-Kina 750ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,2.0,,,
5275,852660004405,Don Ciccio & Figli Amaro Tonico Ferro-Kina 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Liqueur,2.0,,,
5277,852660004221,Don Ciccio & Figli Cinque Apertivo 750ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,3.0,,,
5288,852660004009,Don Ciccio Finocchietto 750ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,3.0,,,
5296,852660004146,Don Ciccio Prickly Pear 750ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,1.0,,,
5299,7416388330586,Don Fulano Anejo 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Tequila,2.0,,,
5301,7416388130674,Don Fulano Blanco 100 proof 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Tequila,7.0,,,
5337,190046000017,Don Mateo Alto 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,1.0,,,
5340,190046000048,Don Mateo Cupreata 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,3.0,,,
5343,190046000031,Don Mateo Manso De Sahuayo 750ml,Customer Square 1,Airport,ACTIVE,Mezcal,4.0,,,
5344,190046000031,Don Mateo Manso De Sahuayo 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,2.0,,,
5349,190046000024,Don Mateo Silvestre 750ml,Customer Square 1,Airport,ACTIVE,Mezcal,1.0,,,
