SKU,Product,Customer,Location,Status,Category,OnHand,Quantity,Sale,Unit
850016427021,Caballito Cerrero Reposado 46 Azul 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Mezcal,1.0,,,
749787600033,Cabrito Blanco 1L,Customer Square 1,Airport,ACTIVE,Tequila,1.0,,,
812482007022,Caffo Sambuca Secolare 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Liqueur,2.0,,,
051497281793,Calirosa Extra Anejo 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Tequila,1.0,,,
09421905022132,Cambridge Road Naturalist Blanc 750mL,Customer Square 3,Oak Hill,ACTIVE,Bubbles,12.0,,,
9421905022095,Cambridge Road Red Animus Blend 750ml ,Customer Square 2,Pleasant Valley,ACTIVE,Red New World,10.0,,,
402000,Cambridge Road The Cab 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Red New World,2.0,,,
833027009080,Camus VSOP 750ml,Customer Square 1,Airport,ACTIVE,Cognac,1.0,,,
8421478600257,Can Sumoi Xarel-lo 750mL,Customer Square 3,Oak Hill,ACTIVE,White,7.0,,,
80686821601,Canadian Club 375ml,Customer Square 1,Airport,ACTIVE,Whiskey Canadian,2.0,,,
080686823551,Canadian Club Chronicles 43y The Speakeasy 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Canadian,1.0,,,
080686823551,Canadian Club Chronicles 43y The Speakeasy 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Canadian,2.0,,,
041396000977,Candy Cigarettes,Customer Square 1,Airport,ACTIVE,Snacks,3.0,,,
041396000977,Candy Cigarettes,Customer Square 2,Pleasant Valley,ACTIVE,Snacks,5.0,,,
761503723963,Cantine Valpane Euli 750ml,Customer Square 3,Oak Hill,ACTIVE,Red Old World,12.0,,,
3268140000145,Cap Corse Quinquina Rouge 750ml,Customer Square 3,Oak Hill,ACTIVE,Fortified,3.0,,,
087000002708,Captain Morgan 1L,Customer Square 3,Oak Hill,ACTIVE,Rum,2.0,,,
080660776163,Caravella Orangecello 750ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,2.0,,,
084105341008,Carpano Antica 1L,Customer Square 3,Oak Hill,ACTIVE,Fortified,1.0,,,
898563002520,Carpano Bianco 1L,Customer Square 3,Oak Hill,ACTIVE,Fortified,3.0,,,
898563002537,Carpano Dry Vermouth 1L,Customer Square 2,Pleasant Valley,ACTIVE,Fortified,9.0,,,
814745010404,Carpene Malvolti Prosecco 187ml,Customer Square 1,Airport,ACTIVE,Bubbles,5.0,,,
850005002000,Casa Dragones Joven 750ml,Customer Square 3,Oak Hill,ACTIVE,Tequila,1.0,,,
850005002215,Casa Dragones Repo Mizunara Cask 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Tequila,1.0,,,
853507000048,Casa Magdalena Rum 750ml,Customer Square 3,Oak Hill,ACTIVE,Rum,2.0,,,
8436030110747,Casa Mariol Vermut Negra 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Fortified,3.0,,,
082100783205,Casa Noble Marques Anejo 750ml,Customer Square 1,Airport,ACTIVE,Tequila,1.0,,,
81240052264,Casa Noble Single Barrel Extra Anejo,Customer Square 2,Pleasant Valley,ACTIVE,Tequila,2.0,,,
5604694000084,Casa Santa Eufemia 10yr Tawny  750ml,Customer Square 2,Pleasant Valley,ACTIVE,Fortified,6.0,,,
5604694000015,Casa Santa Eufemia Ruby Port 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Fortified,6.0,,,
