Product,Total,Mean,Std,Min,Max,50,75,85,Action,ProductSKU,Customer,MinimumBeforeReorder,ReorderQuantity,Unit,RoundedMean,DiffMean,Diff75,Diff85,MeanSavings,75Savings,85Savings
Barbadillo PX Sherry 750ml,2.0,0.038461538461538464,0.1923076923076924,0.0,1.0,0.0,0.0,0.0,Create/Update,8410061018210,Customer Square 2,6,12,16.99,0.0,6.0,6.0,6.0,101.94,101.94,101.94
Bardstown Bourbon Company Discovery 750ml,1.0,0.019230769230769232,0.13733516208736252,0.0,1.0,0.0,0.0,0.0,Create/Update,857552008035,Customer Square 2,1,6,139.99,0.0,1.0,1.0,1.0,139.99,139.99,139.99
Bardstown Bourbon Company Ferrand Cask 750ml,1.0,0.019230769230769232,0.1373351620873625,0.0,1.0,0.0,0.0,0.0,Create/Update,857552008271,Customer Square 2,1,6,139.99,0.0,1.0,1.0,1.0,139.99,139.99,139.99
Bardstown Bourbon Company Fusion 750ml,6.0,0.11538461538461539,0.31948553318915657,0.0,1.0,0.0,0.0,0.0,Create/Update,857552008028,Customer Square 2,1,6,64.99,0.0,1.0,1.0,1.0,64.99,64.99,64.99
Bardstown Bourbon Company Prisoner 750ml,6.0,0.11538461538461539,0.3748767055695755,0.0,2.0,0.0,0.0,0.0,Create/Update,857552008127,Customer Square 2,1,6,139.99,0.0,1.0,1.0,1.0,139.99,139.99,139.99
Barenjager Honey 1L,1.0,0.019230769230769232,0.13733516208736252,0.0,1.0,0.0,0.0,0.0,Create/Update,080368533105,Customer Square 2,3,6,37.99,0.0,3.0,3.0,3.0,113.97,113.97,113.97
Barnard Griffin Rose 750ml,33.0,0.6346153846153846,1.1771681494463753,0.0,5.0,0.0,1.0,2.0,Create/Update,096925003042,Customer Square 2,4,12,13.99,1.0,3.0,3.0,2.0,41.97,41.97,27.98
Barnard Griffin Syrah Port 500ml,2.0,0.038461538461538464,0.19230769230769226,0.0,1.0,0.0,0.0,0.0,Create/Update,096925003202,Customer Square 2,2,4,17.99,0.0,2.0,2.0,2.0,35.98,35.98,35.98
Barr Hill Gin 750ml,8.0,0.15384615384615385,0.36080121229411,0.0,1.0,0.0,0.0,0.3500000000000014,Create/Update,852735003029,Customer Square 2,6,6,42.99,0.0,6.0,6.0,6.0,257.94,257.94,257.94
Barr Hill Tomcat Gin 750ml,2.0,0.038461538461538464,0.19230769230769243,0.0,1.0,0.0,0.0,0.0,Create/Update,852735003111,Customer Square 2,1,6,53.99,0.0,1.0,1.0,1.0,53.99,53.99,53.99
Barr Hill Vodka 750ml,1.0,0.019230769230769232,0.13733516208736254,0.0,1.0,0.0,0.0,0.0,Create/Update,852735003067,Customer Square 2,2,6,59.99,0.0,2.0,2.0,2.0,119.98,119.98,119.98
Barrell Armida 750ml,10.0,0.19230769230769232,0.394113490998446,0.0,1.0,0.0,0.0,1.0,Create/Update,736040002789,Customer Square 2,1,2,89.99,0.0,1.0,1.0,0.0,89.99,89.99,0.0
Barrell Dovetail 750ml,1.0,0.019230769230769232,0.13733516208736252,0.0,1.0,0.0,0.0,0.0,Create/Update,736040539797,Customer Square 2,1,2,89.99,0.0,1.0,1.0,1.0,89.99,89.99,89.99
Barrell Seagrass 750ml,26.0,0.5,0.6354889093022426,0.0,2.0,0.0,1.0,1.0,Create/Update,736040002796,Customer Square 2,1,2,89.99,0.0,1.0,0.0,0.0,89.99,0.0,0.0
Barrell Whiskey Infinite Project 750ml,2.0,0.038461538461538464,0.19230769230769224,0.0,1.0,0.0,0.0,0.0,Create/Update,736040542032,Customer Square 2,2,3,66.99,0.0,2.0,2.0,2.0,133.98,133.98,133.98
Barrell Whiskey Vatted Malt 750ml,3.0,0.057692307692307696,0.23316068563427195,0.0,1.0,0.0,0.0,0.0,Create/Update,736040544425,Customer Square 2,2,2,89.99,0.0,2.0,2.0,2.0,179.98,179.98,179.98
Barrows Intense Ginger 750ml,6.0,0.11538461538461539,0.3194855331891566,0.0,1.0,0.0,0.0,0.0,Create/Update,045635366800,Customer Square 2,6,6,38.99,0.0,6.0,6.0,6.0,233.94,233.94,233.94
Basic Vodka 1L,11.0,0.21153846153846154,0.45304688420729783,0.0,2.0,0.0,0.0,1.0,Create/Update,849806002357,Customer Square 2,3,12,15.99,0.0,3.0,3.0,2.0,47.97,47.97,31.98
Basil Hayden 175L,3.0,0.057692307692307696,0.2331606856342719,0.0,1.0,0.0,0.0,0.0,Create/Update,080686012320,Customer Square 2,1,6,79.99,0.0,1.0,1.0,1.0,79.99,79.99,79.99
Basil Hayden 375ml,12.0,0.23076923076923078,0.5044183480232308,0.0,2.0,0.0,0.0,1.0,Create/Update,080686012122,Customer Square 2,12,12,21.99,0.0,12.0,12.0,11.0,263.88,263.88,241.89
Basil Hayden Bourbon 750ml,112.0,2.1538461538461537,1.8227685555496593,0.0,8.0,2.0,3.0,4.0,Create/Update,080686012405,Customer Square 2,4,12,45.99,2.0,2.0,1.0,0.0,91.98,45.99,0.0
Basil Hayden Dark Rye 750ml,9.0,0.17307692307692307,0.426125380887699,0.0,2.0,0.0,0.0,0.3500000000000014,Create/Update,080686012146,Customer Square 2,1,6,45.99,0.0,1.0,1.0,1.0,45.99,45.99,45.99
Basil Hayden Toast 750ml,1.0,0.019230769230769232,0.1373351620873625,0.0,1.0,0.0,0.0,0.0,Create/Update,080686012344,Customer Square 2,2,6,49.99,0.0,2.0,2.0,2.0,99.98,99.98,99.98
Batavia Arrack Van Oosten 750ml,6.0,0.11538461538461539,0.37487670556957536,0.0,2.0,0.0,0.0,0.0,Create/Update,9024153100432,Customer Square 2,6,12,31.99,0.0,6.0,6.0,6.0,191.94,191.94,191.94
Batch Cocktails,3.0,0.057692307692307696,0.23316068563427192,0.0,1.0,0.0,0.0,0.0,Create/Update,9780399582530,Customer Square 2,2,2,19.99,0.0,2.0,2.0,2.0,39.98,39.98,39.98
Bauchant Napoleon 1L,4.0,0.07692307692307693,0.26646935501059643,0.0,1.0,0.0,0.0,0.0,Create/Update,086785500232,Customer Square 2,4,6,27.99,0.0,4.0,4.0,4.0,111.96,111.96,111.96
Beach Bum Berrys Zombie Glass 2pk,1.0,0.019230769230769232,0.13733516208736252,0.0,1.0,0.0,0.0,0.0,Create/Update,791090527767,Customer Square 2,6,12,20.0,0.0,6.0,6.0,6.0,120.0,120.0,120.0
Beachbum Berrys Potions Book,2.0,0.038461538461538464,0.19230769230769232,0.0,1.0,0.0,0.0,0.0,Create/Update,9781941199039,Customer Square 2,2,4,27.99,0.0,2.0,2.0,2.0,55.98,55.98,55.98
Becherovka 750ml,2.0,0.038461538461538464,0.1923076923076923,0.0,1.0,0.0,0.0,0.0,Create/Update,080432106624,Customer Square 2,1,6,29.99,0.0,1.0,1.0,1.0,29.99,29.99,29.99
Beefeater 24 1L,9.0,0.17307692307692307,0.469088881448095,0.0,2.0,0.0,0.0,0.0,Create/Update,089540507590,Customer Square 2,1,6,35.99,0.0,1.0,1.0,1.0,35.99,35.99,35.99
Beefeater Gin 1L,52.0,1.0,1.0190493307301363,0.0,4.0,1.0,1.0,2.0,Create/Update,089540333489,Customer Square 2,2,12,34.99,1.0,1.0,1.0,0.0,34.99,34.99,0.0
Belle Meade Bourbon 750ml,2.0,0.038461538461538464,0.19230769230769232,0.0,1.0,0.0,0.0,0.0,Create/Update,609224885853,Customer Square 2,3,6,64.99,0.0,3.0,3.0,3.0,194.96999999999997,194.96999999999997,194.96999999999997
Belle Meade Reserve Cask 750ml,1.0,0.019230769230769232,0.13733516208736254,0.0,1.0,0.0,0.0,0.0,Create/Update,602938786669,Customer Square 2,2,6,92.99,0.0,2.0,2.0,2.0,185.98,185.98,185.98
Beluga Allure 750ml,1.0,0.019230769230769232,0.1373351620873625,0.0,1.0,0.0,0.0,0.0,Create/Update,850346005173,Customer Square 2,3,6,62.99,0.0,3.0,3.0,3.0,188.97,188.97,188.97
Beluga Noble 1L,6.0,0.11538461538461539,0.3194855331891567,0.0,1.0,0.0,0.0,0.0,Create/Update,850346005012,Customer Square 2,6,6,42.99,0.0,6.0,6.0,6.0,257.94,257.94,257.94
Beluga Noble Gold 750ml,4.0,0.07692307692307693,0.26646935501059654,0.0,1.0,0.0,0.0,0.0,Create/Update,850346005067,Customer Square 2,1,6,109.99,0.0,1.0,1.0,1.0,109.99,109.99,109.99
Belvedere Vodka 750ml,28.0,0.5384615384615384,0.8871201995900615,0.0,4.0,0.0,1.0,1.0,Create/Update,087116069688,Customer Square 2,6,6,34.99,1.0,5.0,5.0,5.0,174.95000000000002,174.95000000000002,174.95000000000002
